slug,variant,model_correct,intermediate_concept,correct_answer,predicted,prompt,n_features_amplified,baseline_predicted,amplified_predicted,flipped_correct,flipped_to_middlehop,baseline_rank,amplified_rank,rank_change,baseline_prob,amplified_prob,prob_gain,baseline_top5,amplified_top5,skipped
wichita-capital,a2,True,Kansas,Topeka,Topeka,The capital of the state containing Wichita is,3,Topeka,Kansas,False,True,1,2,1,0.195312,0.233398,0.038086,"Topeka(19.5%), the(11.8%), Kansas(11.8%), Wichita(9.2%), (6.3%)","Kansas(43.6%), Topeka(23.3%), Wichita(14.2%), the(1.9%), KS(1.5%)",
louisville-capital,a2,True,Kentucky,Frankfort,Frankfort,The capital of the state containing Louisville is,3,Frankfort,Frankfort,True,False,1,1,0,0.324219,0.289062,-0.035156,"Frankfort(32.4%), the(12.0%), Kentucky(9.3%), (8.2%), Louisville(8.2%)","Frankfort(28.9%), Kentucky(28.9%), Louisville(15.4%), Lexington(7.3%), the(4.4%)",
new-orleans-capital,a2,True,Louisiana,Baton Rouge,Baton,The capital of the state containing New Orleans is,,,,,,,,,,,,,,no_middlehop_features
bar-harbor-capital,a2,True,Maine,Augusta,Augusta,The capital of the state containing Bar Harbor is,6,Augusta,Bangor,False,False,1,2,1,0.332031,0.182617,-0.149414,"Augusta(33.2%), Bangor(15.7%), the(9.5%), (7.4%), Ellsworth(3.5%)","Bangor(38.7%), Augusta(18.3%), Maine(18.3%), Portland(5.2%), Ellsworth(3.6%)",
baltimore-capital,a2,True,Maryland,Annapolis,Annapolis,The capital of the state containing Baltimore is,2,Annapolis,Annapolis,True,False,1,1,0,0.441406,0.410156,-0.03125,"Annapolis(44.1%), the(8.7%), Baltimore(6.0%), (6.0%), Maryland(5.2%)","Annapolis(41.0%), Maryland(24.9%), Baltimore(22.0%), the(2.0%), (1.2%)",
cambridge-capital,a2,True,Massachusetts,Boston,Boston,The capital of the state containing Cambridge is,6,Boston,Boston,True,False,1,1,0,0.261719,0.371094,0.109375,"Boston(26.2%), the(10.9%), (8.5%), Massachusetts(4.0%), Cambridge(4.0%)","Boston(37.1%), Massachusetts(12.1%), the(6.4%), (5.7%), Cambridge(4.4%)",
detroit-capital,a2,True,Michigan,Lansing,Lansing,The capital of the state containing Detroit is,7,Lansing,Lansing,True,False,1,1,0,0.53125,0.425781,-0.105469,"Lansing(53.1%), the(7.2%), Michigan(7.2%), (5.6%), called(3.8%)","Lansing(42.6%), Michigan(29.3%), Detroit(8.4%), Ann(1.9%), Flint(1.6%)",
minneapolis-capital,a2,False,Minnesota,Saint Paul,St,The capital of the state containing Minneapolis is,4,St,Minnesota,False,True,2,4,2,0.147461,0.078613,-0.068848,"St(24.3%), the(14.7%), Saint(14.7%), Minnesota(10.2%), Minneapolis(5.4%)","Minnesota(35.4%), Minneapolis(21.4%), St(10.1%), Saint(7.9%), MN(6.1%)",
biloxi-capital,a2,True,Mississippi,Jackson,Jackson,The capital of the state containing Biloxi is,3,Jackson,Jackson,True,False,1,1,0,0.175781,0.24707,0.071289,"Jackson(17.6%), the(15.5%), Bil(6.4%), Gulf(5.7%), (5.0%)","Jackson(24.7%), the(10.3%), Mississippi(8.0%), Bil(8.0%), Gulf(7.1%)",
st-louis-capital,a2,True,Missouri,Jefferson City,Jefferson,The capital of the state containing St. Louis is,4,Jefferson,Missouri,False,True,1,2,1,0.253906,0.176758,-0.077148,"Jefferson(25.4%), the(10.5%), (10.5%), called(6.4%), St(5.7%)","Missouri(29.1%), Jefferson(17.7%), St(15.6%), MO(4.0%), Columbia(4.0%)",
billings-capital,a2,True,Montana,Helena,Helena,The capital of the state containing Billings is,10,Helena,Helena,True,False,1,1,0,0.351562,0.546875,0.195312,"Helena(35.2%), the(16.6%), (7.9%), :(3.7%), Bo(3.3%)","Helena(54.7%), Montana(13.8%), Billings(5.8%), Bo(5.1%), the(2.4%)",
omaha-capital,a2,True,Nebraska,Lincoln,Lincoln,The capital of the state containing Omaha is,3,Lincoln,Lincoln,True,False,1,1,0,0.451172,0.449219,-0.001953,"Lincoln(45.1%), the(8.9%), Nebraska(7.8%), (6.1%), Omaha(4.2%)","Lincoln(44.9%), Nebraska(24.0%), Omaha(14.6%), the(2.5%), called(1.5%)",
las-vegas-capital,a2,False,Nevada,Carson City,Reno,The capital of the state containing Las Vegas is,2,Reno,Nevada,False,True,3,4,1,0.09375,0.085938,-0.007812,"Reno(17.5%), Nevada(12.0%), (9.4%), Carson(9.4%), the(9.4%)","Nevada(30.1%), Reno(18.2%), Las(12.5%), Carson(8.6%), (5.2%)",
nashua-capital,a2,True,New Hampshire,Concord,Concord,The capital of the state containing Nashua is,2,Concord,Concord,True,False,1,1,0,0.402344,0.416016,0.013672,"Concord(40.2%), Manchester(14.8%), the(7.9%), Nash(4.8%), New(3.7%)","Concord(41.6%), Manchester(15.3%), Nash(8.2%), New(7.2%), the(3.4%)",
atlantic-city-capital,a2,False,New Jersey,Trenton,Atlantic,The capital of the state containing Atlantic City is,10,Atlantic,New,False,False,2,3,1,0.155273,0.182617,0.027344,"Atlantic(17.6%), Trenton(15.5%), (9.4%), the(7.3%), New(3.9%)","New(26.6%), Atlantic(20.6%), Trenton(18.3%), Camden(4.6%), Ocean(1.9%)",
albuquerque-capital,a2,True,New Mexico,Santa Fe,Santa,The capital of the state containing Albuquerque is,2,Santa,Santa,False,False,1,1,0,0.369141,0.402344,0.033203,"Santa(36.9%), the(10.6%), New(9.3%), Albuquerque(6.4%), (5.7%)","Santa(40.2%), New(18.9%), Albuquerque(7.9%), the(3.7%), Las(2.9%)",
niagara-falls-capital,a2,False,New York,Albany,Buffalo,The capital of the state containing Niagara Falls is,,,,,,,,,,,,,,no_middlehop_features
charlotte-capital,a2,True,North Carolina,Raleigh,Raleigh,The capital of the state containing Charlotte is,5,Raleigh,Raleigh,True,False,1,1,0,0.373047,0.425781,0.052734,"Raleigh(37.3%), North(9.5%), the(8.3%), (5.1%), Charlotte(4.5%)","Raleigh(42.6%), North(13.8%), Charlotte(7.4%), NC(4.0%), the(3.5%)",
fargo-capital,a2,True,North Dakota,Bismarck,Bismarck,The capital of the state containing Fargo is,3,Bismarck,Bismarck,True,False,1,1,0,0.253906,0.382812,0.128906,"Bismarck(25.4%), North(17.4%), Fargo(15.3%), the(9.3%), (5.0%)","Bismarck(38.3%), Fargo(29.7%), North(8.5%), the(2.8%), Moor(2.4%)",
cleveland-capital,a2,True,Ohio,Columbus,Columbus,The capital of the state containing Cleveland is,2,Columbus,Columbus,True,False,1,1,0,0.316406,0.351562,0.035156,"Columbus(31.6%), the(10.3%), Cleveland(7.1%), (6.2%), Ohio(5.5%)","Columbus(35.2%), Ohio(11.4%), Cleveland(11.4%), Akron(6.1%), the(6.1%)",
tulsa-capital,a2,True,Oklahoma,Oklahoma City,Oklahoma,The capital of the state containing Tulsa is,4,Oklahoma,Oklahoma,False,True,1,1,0,0.412109,0.636719,0.224609,"Oklahoma(41.2%), the(10.4%), (7.2%), :(3.4%), Tulsa(3.0%)","Oklahoma(63.7%), OK(8.6%), Tulsa(7.6%), the(2.5%), Ok(1.7%)",
portland-or-capital,a2,True,Oregon,Salem,Salem,The capital of the state containing Portland is,2,Salem,Salem,True,False,1,1,0,0.211914,0.246094,0.03418,"Salem(21.2%), the(12.9%), (8.8%), Portland(6.9%), Augusta(6.1%)","Salem(24.6%), the(14.9%), (7.1%), Portland(4.9%), Augusta(3.8%)",
philadelphia-capital,a2,True,Pennsylvania,Harrisburg,Harrisburg,The capital of the state containing Philadelphia is,3,Harrisburg,Harrisburg,True,False,1,1,0,0.466797,0.519531,0.052734,"Harrisburg(46.7%), the(10.4%), (5.6%), Pennsylvania(5.6%), called(3.8%)","Harrisburg(52.0%), the(9.0%), Pennsylvania(5.5%), (4.8%), Philadelphia(3.8%)",
newport-capital,a2,False,Rhode Island,Providence,the,The capital of the state containing Newport is,2,the,Newport,False,False,5,3,-2,0.029541,0.074219,0.044678,"the(15.0%), Newport(9.1%), (6.2%), Providence(3.0%), Harrisburg(3.0%)","Newport(15.6%), the(12.2%), Providence(7.4%), Rhode(5.8%), (4.5%)",
myrtle-beach-capital,a2,True,South Carolina,Columbia,Columbia,The capital of the state containing Myrtle Beach is,7,Columbia,Myrtle,False,False,1,1,0,0.236328,0.251953,0.015625,"Columbia(23.6%), Myrtle(20.8%), Conway(6.0%), the(6.0%), Florence(5.3%)","Myrtle(25.2%), Columbia(25.2%), Charleston(7.2%), Conway(6.4%), South(6.4%)",
mount-rushmore-capital,a2,False,South Dakota,Pierre,South,The capital of the state containing Mount Rushmore is,2,South,South,False,False,5,2,-3,0.068359,0.130859,0.0625,"South(12.8%), :(8.8%), (7.8%), the(7.8%), (6.8%)","South(16.8%), Pierre(13.1%), Sioux(11.5%), Rapid(5.4%), the(4.2%)",
memphis-capital,a2,False,Tennessee,Nashville,the,The capital of the state containing Memphis is,1,the,the,False,False,2,7,5,0.142578,0.026611,-0.115967,"the(16.2%), Nashville(14.3%), (11.1%), Memphis(9.8%), Tennessee(8.7%)","the(25.2%), (19.6%), Jackson(6.4%), :(4.4%), ...(3.0%)",
dallas-capital,a2,True,Texas,Austin,Austin,The capital of the state containing Dallas is,9,Austin,Austin,True,False,1,1,0,0.341797,0.398438,0.056641,"Austin(34.2%), the(11.1%), (7.6%), Fort(4.1%), Texas(4.1%)","Austin(39.8%), Texas(14.6%), Dallas(7.9%), Fort(6.1%), Houston(3.3%)",
provo-capital,a2,False,Utah,Salt Lake City,Provo,The capital of the state containing Provo is,5,Provo,Salt,False,False,2,1,-1,0.192383,0.263672,0.071289,"Provo(21.9%), Salt(19.2%), the(9.1%), Utah(8.1%), (3.3%)","Salt(26.4%), Utah(23.2%), Provo(20.5%), Brigham(6.6%), Ogden(4.0%)",
burlington-vt-capital,a2,False,Vermont,Montpelier,the,The capital of the state containing Burlington is,3,the,the,False,False,3,1,-2,0.05835,0.087891,0.029541,"the(12.3%), (6.6%), Mont(5.8%), Madison(5.1%), Burlington(4.5%)","the(8.8%), Burlington(8.8%), Mont(8.8%), Vermont(5.3%), Madison(4.7%)",
virginia-beach-capital,a2,True,Virginia,Richmond,Richmond,The capital of the state containing Virginia Beach is,1,Richmond,Virginia,False,True,1,2,1,0.227539,0.259766,0.032227,"Richmond(22.8%), Norfolk(17.7%), the(12.2%), (7.4%), Hampton(4.0%)","Virginia(37.7%), Richmond(26.0%), Norfolk(9.5%), Hampton(4.5%), Williamsburg(4.0%)",
seattle-capital,a2,True,Washington,Olympia,Olympia,The capital of the state containing Seattle is,6,Olympia,Olympia,True,False,1,1,0,0.601562,0.523438,-0.078125,"Olympia(60.2%), the(7.2%), (4.9%), Washington(4.4%), called(2.1%)","Olympia(52.3%), Seattle(15.0%), Tacoma(8.0%), Washington(2.3%), the(2.3%)",
morgantown-capital,a2,False,West Virginia,Charleston,Morgan,The capital of the state containing Morgantown is,5,Morgan,Morgan,False,False,3,2,-1,0.09375,0.10791,0.01416,"Morgan(17.5%), the(12.0%), Charleston(9.4%), West(8.3%), Fairmont(6.4%)","Morgan(17.8%), Charleston(10.8%), Fairmont(9.5%), the(9.5%), (5.8%)",
milwaukee-capital,a2,True,Wisconsin,Madison,Madison,The capital of the state containing Milwaukee is,4,Madison,Wisconsin,False,True,1,2,1,0.224609,0.242188,0.017578,"Madison(22.5%), the(12.0%), Milwaukee(10.6%), Wisconsin(10.6%), (5.7%)","Wisconsin(31.1%), Madison(24.2%), Milwaukee(18.8%), Green(4.2%), the(2.9%)",
toronto-capital,a2,True,Canada,Ottawa,Ottawa,The capital of the country containing Toronto is,14,Ottawa,Ottawa,True,False,1,1,0,0.233398,0.277344,0.043945,"Ottawa(23.3%), Toronto(9.7%), the(9.7%), (7.6%), Ontario(5.2%)","Ottawa(27.7%), Toronto(19.0%), Ontario(14.8%), Canada(10.2%), Montreal(4.2%)",
vancouver-capital,a2,False,Canada,Ottawa,Victoria,The capital of the country containing Vancouver is,6,Victoria,Victoria,False,False,10,3,-7,0.021484,0.07959,0.058105,"Victoria(33.6%), (8.5%), the(7.5%), Vancouver(5.8%), British(5.2%)","Victoria(24.4%), Vancouver(14.8%), Ottawa(8.0%), Toronto(6.2%), Canada(6.2%)",
montreal-capital,a2,False,Canada,Ottawa,Quebec,The capital of the country containing Montreal is,15,Quebec,Quebec,False,False,2,2,0,0.112305,0.209961,0.097656,"Quebec(27.0%), Ottawa(11.2%), the(8.7%), (7.7%), known(3.6%)","Quebec(30.7%), Ottawa(21.0%), Toronto(7.7%), Canada(6.8%), Montreal(6.0%)",
guadalajara-capital,a2,True,Mexico,Mexico City,Mexico,The capital of the country containing Guadalajara is,7,Mexico,Mexico,False,True,1,1,0,0.304688,0.46875,0.164062,"Mexico(30.5%), the(11.2%), Guadalajara(9.9%), (6.0%), called(4.1%)","Mexico(46.9%), Guadalajara(13.5%), Mexican(4.4%), Jalisco(3.9%), México(3.4%)",
cancun-capital,a2,True,Mexico,Mexico City,Mexico,The capital of the country containing Cancun is,6,Mexico,Mexico,False,True,1,1,0,0.320312,0.609375,0.289062,"Mexico(32.0%), the(11.8%), (7.2%), called(6.3%), a(3.0%)","Mexico(60.9%), Mexican(3.0%), Cancun(3.0%), Guadalajara(2.7%), Monterrey(2.1%)",
rio-de-janeiro-capital,a2,False,Brazil,Brasilia,the,The capital of the country containing Rio de Janeiro is,2,the,the,False,False,3,2,-1,0.067383,0.089844,0.022461,"the(11.1%), Brazil(6.7%), (6.7%), Bra(6.7%), called(5.2%)","the(11.5%), Bra(9.0%), (7.9%), called(5.4%), :(4.8%)",
sao-paulo-capital,a2,True,Brazil,Brasilia,Bra,The capital of the country containing Sao Paulo is,4,Bra,Bra,False,False,1,1,0,0.131836,0.244141,0.112305,"Bra(13.2%), the(10.3%), São(8.0%), Sao(7.1%), Rio(6.2%)","Bra(24.4%), Rio(7.9%), the(7.0%), Sao(6.2%), São(4.2%)",
medellin-capital,a2,True,Colombia,Bogota,Bogota,The capital of the country containing Medellin is,1,Bogota,Bogota,True,False,1,1,0,0.222656,0.316406,0.09375,"Bogota(22.3%), Bogotá(10.5%), called(8.2%), the(6.4%), Colombia(5.0%)","Bogota(31.6%), Bogotá(14.9%), Colombia(10.3%), Medellín(6.2%), called(3.8%)",
cusco-capital,a2,True,Peru,Lima,Lima,The capital of the country containing Cusco is,1,Lima,Lima,True,False,1,1,0,0.345703,0.398438,0.052734,"Lima(34.6%), the(14.4%), (6.0%), located(5.3%), called(4.1%)","Lima(39.8%), the(13.0%), located(4.8%), (4.8%), Peru(4.2%)",
manchester-capital,a2,True,United Kingdom,London,London,The capital of the country containing Manchester is,,,,,,,,,,,,,,no_middlehop_features
liverpool-capital,a2,True,United Kingdom,London,London,The capital of the country containing Liverpool is,,,,,,,,,,,,,,no_middlehop_features
glasgow-capital,a2,False,United Kingdom,London,Edinburgh,The capital of the country containing Glasgow is,,,,,,,,,,,,,,no_middlehop_features
cork-capital,a2,True,Ireland,Dublin,Dublin,The capital of the country containing Cork is,14,Dublin,Dublin,True,False,1,1,0,0.316406,0.427734,0.111328,"Dublin(31.6%), the(10.3%), (9.0%), Cork(6.2%), called(5.5%)","Dublin(42.8%), Cork(13.9%), Ireland(8.4%), Limerick(7.4%), Irish(3.1%)",
marseille-capital,a2,True,France,Paris,Paris,The capital of the country containing Marseille is,5,Paris,Paris,True,False,1,1,0,0.195312,0.328125,0.132812,"Paris(19.5%), the(9.2%), (8.1%), Lyon(7.2%), Marseille(4.3%)","Paris(32.8%), France(17.6%), Lyon(6.5%), Marseille(5.7%), French(5.7%)",
lyon-capital,a2,True,France,Paris,Paris,The capital of the country containing Lyon is,5,Paris,Paris,True,False,1,1,0,0.188477,0.376953,0.188477,"Paris(18.8%), the(10.1%), Lyon(10.1%), (8.9%), :(4.8%)","Paris(37.7%), France(20.2%), Lyon(9.6%), French(5.8%), the(2.1%)",
bordeaux-capital,a2,False,France,Paris,Bordeaux,The capital of the country containing Bordeaux is,5,Bordeaux,Paris,True,False,2,1,-1,0.149414,0.316406,0.166992,"Bordeaux(19.1%), Paris(14.9%), the(9.1%), (8.0%), :(4.3%)","Paris(31.6%), Bordeaux(19.2%), France(14.9%), Toulouse(6.2%), French(3.8%)",
munich-capital,a2,True,Germany,Berlin,Berlin,The capital of the country containing Munich is,13,Berlin,Munich,False,False,1,2,1,0.251953,0.235352,-0.016602,"Berlin(25.2%), Munich(15.2%), the(8.2%), (6.3%), Germany(3.9%)","Munich(23.5%), Berlin(23.5%), Bavaria(8.6%), Germany(6.7%), the(3.6%)",
hamburg-capital,a2,True,Germany,Berlin,Berlin,The capital of the country containing Hamburg is,12,Berlin,Berlin,True,False,1,1,0,0.294922,0.414062,0.119141,"Berlin(29.5%), (8.4%), Hamburg(7.5%), the(6.6%), :(4.5%)","Berlin(41.4%), Hamburg(11.9%), Germany(7.2%), Bremen(3.9%), Bonn(2.1%)",
frankfurt-capital,a2,True,Germany,Berlin,Berlin,The capital of the country containing Frankfurt is,10,Berlin,Germany,False,True,1,2,1,0.138672,0.19043,0.051758,"Berlin(13.9%), Frankfurt(12.3%), the(8.4%), (7.4%), Germany(6.6%)","Germany(21.6%), Berlin(19.0%), Frankfurt(13.1%), German(4.8%), Wiesbaden(4.2%)",
milan-capital,a2,True,Italy,Rome,Rome,The capital of the country containing Milan is,7,Rome,Rome,True,False,1,1,0,0.183594,0.228516,0.044922,"Rome(18.4%), the(11.1%), (8.7%), Milan(6.8%), called(5.3%)","Rome(22.9%), Milan(12.3%), Italy(9.5%), the(8.4%), (4.5%)",
venice-capital,a2,False,Italy,Rome,the,The capital of the country containing Venice is,3,Rome,the,False,False,2,5,3,0.09082,0.061768,-0.029053,"Rome(9.1%), the(9.1%), (8.0%), Venice(8.0%), :(6.2%)","the(10.2%), (9.0%), :(7.0%), called(7.0%), Rome(6.2%)",
florence-capital,a2,True,Italy,Rome,Rome,The capital of the country containing Florence is,7,Rome,Rome,True,False,1,1,0,0.246094,0.34375,0.097656,"Rome(24.6%), the(11.6%), (8.0%), Florence(8.0%), :(4.3%)","Rome(34.4%), Florence(9.9%), the(8.7%), (4.7%), Italy(3.6%)",
naples-capital,a2,True,Italy,Rome,Rome,The capital of the country containing Naples is,7,Rome,Rome,True,False,1,1,0,0.267578,0.353516,0.085938,"Rome(26.8%), the(9.8%), (7.7%), called(6.0%), :(4.1%)","Rome(35.4%), Italy(10.2%), Naples(6.2%), Milan(4.8%), the(4.2%)",
barcelona-capital,a2,True,Spain,Madrid,Madrid,The capital of the country containing Barcelona is,2,Madrid,Madrid,True,False,1,1,0,0.273438,0.145508,-0.12793,"Madrid(27.3%), (8.9%), the(8.9%), Barcelona(4.7%), called(4.7%)","Madrid(14.6%), (11.3%), the(11.3%), called(7.8%), :(6.1%)",
seville-capital,a2,True,Spain,Madrid,Madrid,The capital of the country containing Seville is,4,Madrid,Madrid,True,False,1,1,0,0.417969,0.349609,-0.068359,"Madrid(41.8%), the(9.3%), (5.7%), Seville(3.9%), known(2.1%)","Madrid(35.0%), Seville(7.8%), the(7.8%), (5.3%), Sevilla(2.9%)",
valencia-capital,a2,True,Spain,Madrid,Madrid,The capital of the country containing Valencia is,5,Madrid,Madrid,True,False,1,1,0,0.257812,0.224609,-0.033203,"Madrid(25.8%), Valencia(13.8%), the(10.7%), (6.5%), called(3.5%)","Madrid(22.5%), Valencia(17.5%), the(7.3%), (5.0%), Alicante(3.4%)",
porto-capital,a2,True,Portugal,Lisbon,Lisbon,The capital of the country containing Porto is,3,Lisbon,Lisbon,True,False,1,1,0,0.341797,0.439453,0.097656,"Lisbon(34.2%), Porto(11.1%), the(8.6%), (5.2%), a(3.6%)","Lisbon(43.9%), Porto(12.6%), Portugal(7.6%), the(3.6%), Lisboa(3.2%)",
rotterdam-capital,a2,True,Netherlands,Amsterdam,Amsterdam,The capital of the country containing Rotterdam is,9,Amsterdam,Amsterdam,True,False,1,1,0,0.166016,0.298828,0.132812,"Amsterdam(16.6%), The(12.9%), (10.1%), the(8.9%), Rotterdam(5.4%)","Amsterdam(29.9%), Rotterdam(9.7%), Utrecht(6.7%), Holland(6.7%), Netherlands(5.9%)",
antwerp-capital,a2,True,Belgium,Brussels,Brussels,The capital of the country containing Antwerp is,4,Brussels,Brussels,True,False,1,1,0,0.378906,0.496094,0.117188,"Brussels(37.9%), (10.8%), the(7.5%), Belgium(5.8%), :(3.1%)","Brussels(49.6%), (7.6%), the(5.9%), Belgium(4.6%), :(1.9%)",
salzburg-capital,a2,True,Austria,Vienna,Vienna,The capital of the country containing Salzburg is,4,Vienna,Vienna,True,False,1,1,0,0.304688,0.394531,0.089844,"Vienna(30.5%), the(9.9%), (7.7%), Austria(6.8%), Salzburg(5.3%)","Vienna(39.5%), Austria(21.1%), Salzburg(10.0%), Linz(3.2%), the(2.9%)",
gothenburg-capital,a2,True,Sweden,Stockholm,Stockholm,The capital of the country containing Gothenburg is,11,Stockholm,Stockholm,True,False,1,1,0,0.263672,0.302734,0.039062,"Stockholm(26.4%), Gothenburg(11.0%), the(9.7%), (8.6%), Sweden(5.2%)","Stockholm(30.3%), Sweden(23.5%), Gothenburg(14.3%), Swedish(5.9%), Göteborg(5.2%)",
bergen-capital,a2,True,Norway,Oslo,Oslo,The capital of the country containing Bergen is,3,Oslo,Oslo,True,False,1,1,0,0.398438,0.412109,0.013672,"Oslo(39.8%), Bergen(12.9%), the(6.9%), (6.1%), :(3.3%)","Oslo(41.2%), Bergen(13.4%), the(5.6%), (4.9%), Stavanger(2.6%)",
krakow-capital,a2,True,Poland,Warsaw,Warsaw,The capital of the country containing Krakow is,3,Warsaw,Warsaw,True,False,1,1,0,0.226562,0.316406,0.089844,"Warsaw(22.7%), the(13.8%), Poland(8.3%), (5.7%), a(4.5%)","Warsaw(31.6%), Poland(14.9%), the(8.0%), Krakow(4.9%), (3.3%)",
thessaloniki-capital,a2,True,Greece,Athens,Athens,The capital of the country containing Thessaloniki is,6,Athens,Athens,True,False,1,1,0,0.167969,0.394531,0.226562,"Athens(16.8%), the(14.8%), (9.0%), a(5.5%), also(4.2%)","Athens(39.5%), Thessaloniki(14.5%), Greece(11.3%), the(4.7%), Greek(2.2%)",
st-petersburg-capital,a2,True,Russia,Moscow,Moscow,The capital of the country containing St. Petersburg is,11,Moscow,Moscow,True,False,1,1,0,0.208008,0.369141,0.161133,"Moscow(20.8%), the(9.9%), called(7.7%), (6.8%), Leningrad(6.0%)","Moscow(36.9%), Russia(22.5%), Leningrad(12.0%), Russian(5.0%), St(3.0%)",
