slug,variant,intermediate_concept,correct_answer,predicted,prompt,n_features_amplified,baseline_predicted,amplified_predicted,flipped_correct,flipped_to_middlehop,baseline_rank,amplified_rank,rank_change,baseline_prob,amplified_prob,prob_gain,baseline_top5,amplified_top5,skipped
mount-rushmore-capital,a2,South Dakota,Pierre,South,The capital of the state containing Mount Rushmore is,1,South,South,False,False,5,2,-3,0.068359,0.097168,0.028809,"South(12.8%), :(8.8%), (7.8%), the(7.8%), (6.8%)","South(16.0%), Pierre(9.7%), the(7.6%), :(6.7%), (6.7%)",
memphis-capital,a2,Tennessee,Nashville,the,The capital of the state containing Memphis is,2,the,the,False,False,2,5,3,0.142578,0.04248,-0.100098,"the(16.2%), Nashville(14.3%), (11.1%), Memphis(9.8%), Tennessee(8.7%)","the(24.4%), (19.0%), Jackson(5.4%), :(4.2%), Nashville(4.2%)",
provo-capital,a2,Utah,Salt Lake City,Provo,The capital of the state containing Provo is,,,,,,,,,,,,,,no_middlehop_features
burlington-vt-capital,a2,Vermont,Montpelier,the,The capital of the state containing Burlington is,4,the,the,False,False,3,1,-2,0.05835,0.100586,0.042236,"the(12.3%), (6.6%), Mont(5.8%), Madison(5.1%), Burlington(4.5%)","the(10.1%), Mont(10.1%), Burlington(7.8%), Madison(6.9%), Des(4.8%)",
morgantown-capital,a2,West Virginia,Charleston,Morgan,The capital of the state containing Morgantown is,3,Morgan,the,False,False,3,3,0,0.09375,0.088379,-0.005371,"Morgan(17.5%), the(12.0%), Charleston(9.4%), West(8.3%), Fairmont(6.4%)","the(12.9%), Morgan(11.3%), Charleston(8.8%), Fairmont(7.8%), West(7.8%)",
vancouver-capital,a2,Canada,Ottawa,Victoria,The capital of the country containing Vancouver is,6,Victoria,Victoria,False,False,10,14,4,0.021484,0.008606,-0.012878,"Victoria(33.6%), (8.5%), the(7.5%), Vancouver(5.8%), British(5.2%)","Victoria(28.5%), (11.9%), the(10.5%), called(5.6%), British(4.4%)",
montreal-capital,a2,Canada,Ottawa,Quebec,The capital of the country containing Montreal is,11,Quebec,the,False,False,2,4,2,0.112305,0.061279,-0.051025,"Quebec(27.0%), Ottawa(11.2%), the(8.7%), (7.7%), known(3.6%)","the(14.7%), Quebec(14.7%), (13.0%), Ottawa(6.1%), known(5.4%)",
rio-de-janeiro-capital,a2,Brazil,Brasilia,the,The capital of the country containing Rio de Janeiro is,4,the,the,False,False,3,2,-1,0.067383,0.085938,0.018555,"the(11.1%), Brazil(6.7%), (6.7%), Bra(6.7%), called(5.2%)","the(11.1%), Bra(8.6%), (7.6%), called(5.9%), known(4.6%)",
glasgow-capital,a2,United Kingdom,London,Edinburgh,The capital of the country containing Glasgow is,,,,,,,,,,,,,,no_middlehop_features
bordeaux-capital,a2,France,Paris,Bordeaux,The capital of the country containing Bordeaux is,6,Bordeaux,Bordeaux,False,False,2,2,0,0.149414,0.123535,-0.025879,"Bordeaux(19.1%), Paris(14.9%), the(9.1%), (8.0%), :(4.3%)","Bordeaux(18.0%), Paris(12.4%), (9.6%), the(9.6%), called(5.2%)",
venice-capital,a2,Italy,Rome,the,The capital of the country containing Venice is,,,,,,,,,,,,,,no_middlehop_features
bangalore-capital,a2,India,New Delhi,Karnataka,The capital of the country containing Bangalore is,,,,,,,,,,,,,,no_middlehop_features
melbourne-capital,a2,Australia,Canberra,the,The capital of the country containing Melbourne is,6,the,the,False,False,2,7,5,0.115234,0.047363,-0.067871,"the(13.1%), (11.5%), Canberra(11.5%), known(7.0%), Melbourne(6.2%)","the(16.6%), (14.6%), :(6.9%), known(6.9%), called(6.9%)",
