slug,prompt,graph_slug,subgraph_id,url
biloxi-capital,<bos>The capital of the state containing Biloxi is,llm-slt-biloxi-capital,cmtp33qkc005uq1hsfm1phxr6,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-biloxi-capital&subgraph=cmtp33qkc005uq1hsfm1phxr6
birmingham-capital,<bos>The capital of the state containing Birmingham is,llm-slt-birmingham-capital,cmtp34934001hqu479flwhujg,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-birmingham-capital&subgraph=cmtp34934001hqu479flwhujg
bordeaux-capital,<bos>The capital of the country containing Bordeaux is,llm-slt-bordeaux-capital,cmtp34rue005xq1hsjg2nd4ki,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-bordeaux-capital&subgraph=cmtp34rue005xq1hsjg2nd4ki
burlington-vt-capital,<bos>The capital of the state containing Burlington is,llm-slt-burlington-vt-capital,cmtp359x6001mqu47a7fb3rku,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-burlington-vt-capital&subgraph=cmtp359x6001mqu47a7fb3rku
busan-capital,<bos>The capital of the country containing Busan is,llm-slt-busan-capital,cmtp35s610060q1hsryne7mzm,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-busan-capital&subgraph=cmtp35s610060q1hsryne7mzm
cambridge-capital,<bos>The capital of the state containing Cambridge is,llm-slt-cambridge-capital,cmtp36b9r0063q1hsyayz8d8v,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-cambridge-capital&subgraph=cmtp36b9r0063q1hsyayz8d8v
cancun-capital,<bos>The capital of the country containing Cancun is,llm-slt-cancun-capital,cmtp36ts10066q1hsgb6p6md0,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-cancun-capital&subgraph=cmtp36ts10066q1hsgb6p6md0
casper-capital,<bos>The capital of the state containing Casper is,llm-slt-casper-capital,cmtp37css0069q1hsyso15ur5,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-casper-capital&subgraph=cmtp37css0069q1hsyso15ur5
cedar-rapids-capital,<bos>The capital of the state containing Cedar Rapids is,llm-slt-cedar-rapids-capital,cmtp37vve0002uj3mg7dt0y3b,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-cedar-rapids-capital&subgraph=cmtp37vve0002uj3mg7dt0y3b
charlotte-capital,<bos>The capital of the state containing Charlotte is,llm-slt-charlotte-capital,cmtp38edv0005uj3myr0ozzcz,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-charlotte-capital&subgraph=cmtp38edv0005uj3myr0ozzcz
chicago-capital,<bos>The capital of the state containing Chicago is,llm-slt-chicago-capital,cmtp38wq30008uj3m6f4r1spn,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-chicago-capital&subgraph=cmtp38wq30008uj3m6f4r1spn
cleveland-capital,<bos>The capital of the state containing Cleveland is,llm-slt-cleveland-capital,cmtp39g480000be8oqa0avos9,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-cleveland-capital&subgraph=cmtp39g480000be8oqa0avos9
colorado-springs-capital,<bos>The capital of the state containing Colorado Springs is,llm-slt-colorado-springs-capital,cmtp3a07g0001be8oomdgu11o,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-colorado-springs-capital&subgraph=cmtp3a07g0001be8oomdgu11o
cork-capital,<bos>The capital of the country containing Cork is,llm-slt-cork-capital,cmtp3ait10004be8owsva2p6c,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-cork-capital&subgraph=cmtp3ait10004be8owsva2p6c
cusco-capital,<bos>The capital of the country containing Cusco is,llm-slt-cusco-capital,cmtp3b21300069nlfgvouta0x,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-cusco-capital&subgraph=cmtp3b21300069nlfgvouta0x
dallas-capital,<bos>The capital of the state containing Dallas is,llm-slt-dallas-capital,cmtp3hzv7001nbe8oh7b6iupo,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-dallas-capital&subgraph=cmtp3hzv7001nbe8oh7b6iupo
detroit-capital,<bos>The capital of the state containing Detroit is,llm-slt-detroit-capital,cmtp3ih97001qbe8oxjp9qwi9,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-detroit-capital&subgraph=cmtp3ih97001qbe8oxjp9qwi9
dubai-capital,<bos>The capital of the country containing Dubai is,llm-slt-dubai-capital,cmtp3izfy001tbe8o3rapwjdo,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-dubai-capital&subgraph=cmtp3izfy001tbe8o3rapwjdo
edinburgh-capital,<bos>The capital of the country containing Edinburgh is,llm-slt-edinburgh-capital,cmtp3we2j006cq1hsbnlb9w69,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-edinburgh-capital&subgraph=cmtp3we2j006cq1hsbnlb9w69
fargo-capital,<bos>The capital of the state containing Fargo is,llm-slt-fargo-capital,cmtp3wwpk00099nlfa05p5fhl,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-fargo-capital&subgraph=cmtp3wwpk00099nlfa05p5fhl
florence-capital,<bos>The capital of the country containing Florence is,llm-slt-florence-capital,cmtp3xfm3006fq1hsgcynht8h,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-florence-capital&subgraph=cmtp3xfm3006fq1hsgcynht8h
fort-smith-capital,<bos>The capital of the state containing Fort Smith is,llm-slt-fort-smith-capital,cmtp3y0dw006iq1hsrmro1yz1,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-fort-smith-capital&subgraph=cmtp3y0dw006iq1hsrmro1yz1
frankfurt-capital,<bos>The capital of the country containing Frankfurt is,llm-slt-frankfurt-capital,cmtp3yj8t000c9nlf94gf0ek6,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-frankfurt-capital&subgraph=cmtp3yj8t000c9nlf94gf0ek6
glasgow-capital,<bos>The capital of the country containing Glasgow is,llm-slt-glasgow-capital,cmtp3z1q5000f9nlfi4akvew1,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-glasgow-capital&subgraph=cmtp3z1q5000f9nlfi4akvew1
gothenburg-capital,<bos>The capital of the country containing Gothenburg is,llm-slt-gothenburg-capital,cmtp4iv54000i9nlfrmqqktgx,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-gothenburg-capital&subgraph=cmtp4iv54000i9nlfrmqqktgx
grand-canyon-capital,<bos>The capital of the state containing the Grand Canyon is,llm-slt-grand-canyon-capital,cmtp4jdkd000l9nlfsoz8atdy,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-grand-canyon-capital&subgraph=cmtp4jdkd000l9nlfsoz8atdy
guadalajara-capital,<bos>The capital of the country containing Guadalajara is,llm-slt-guadalajara-capital,cmtp4jvky000o9nlfroxfgfa9,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-guadalajara-capital&subgraph=cmtp4jvky000o9nlfroxfgfa9
hamburg-capital,<bos>The capital of the country containing Hamburg is,llm-slt-hamburg-capital,cmtp4ke8e000r9nlfks332otx,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-hamburg-capital&subgraph=cmtp4ke8e000r9nlfks332otx
ho-chi-minh-capital,<bos>The capital of the country containing Ho Chi Minh City is,llm-slt-ho-chi-minh-capital,cmtp4ky0d000u9nlf07dssexz,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-ho-chi-minh-capital&subgraph=cmtp4ky0d000u9nlf07dssexz
istanbul-capital,<bos>The capital of the country containing Istanbul is,llm-slt-istanbul-capital,cmtp4lgol000x9nlfzwej5rsx,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-istanbul-capital&subgraph=cmtp4lgol000x9nlfzwej5rsx
karachi-capital,<bos>The capital of the country containing Karachi is,llm-slt-karachi-capital,cmtp4lz770002ny0vly82dcak,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-karachi-capital&subgraph=cmtp4lz770002ny0vly82dcak
krakow-capital,<bos>The capital of the country containing Krakow is,llm-slt-krakow-capital,cmtp4mhx00005ny0vd5eob0o8,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-krakow-capital&subgraph=cmtp4mhx00005ny0vd5eob0o8
kyoto-capital,<bos>The capital of the country containing Kyoto is,llm-slt-kyoto-capital,cmtp4tj5n00085bhtqsqqcwl7,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-kyoto-capital&subgraph=cmtp4tj5n00085bhtqsqqcwl7
las-vegas-capital,<bos>The capital of the state containing Las Vegas is,llm-slt-las-vegas-capital,cmtp4u1oe00095bht0m0nt4er,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-las-vegas-capital&subgraph=cmtp4u1oe00095bht0m0nt4er
liverpool-capital,<bos>The capital of the country containing Liverpool is,llm-slt-liverpool-capital,cmtp4ukd30008ny0vdzrj6c25,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-liverpool-capital&subgraph=cmtp4ukd30008ny0vdzrj6c25
los-angeles-capital,<bos>The capital of the state containing Los Angeles is,llm-slt-los-angeles-capital,cmtp5efl80002udnqvbd0u6ia,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-los-angeles-capital&subgraph=cmtp5efl80002udnqvbd0u6ia
louisville-capital,<bos>The capital of the state containing Louisville is,llm-slt-louisville-capital,cmtp5ey7i0000sam0e5bnwgst,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-louisville-capital&subgraph=cmtp5ey7i0000sam0e5bnwgst
lyon-capital,<bos>The capital of the country containing Lyon is,llm-slt-lyon-capital,cmtp5fj3p0005udnqa8damabm,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-lyon-capital&subgraph=cmtp5fj3p0005udnqa8damabm
manchester-capital,<bos>The capital of the country containing Manchester is,llm-slt-manchester-capital,cmtp5g1is0000caazo9utsvof,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-manchester-capital&subgraph=cmtp5g1is0000caazo9utsvof
marseille-capital,<bos>The capital of the country containing Marseille is,llm-slt-marseille-capital,cmtp5gjlv0005sam08vui2cug,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-marseille-capital&subgraph=cmtp5gjlv0005sam08vui2cug
medellin-capital,<bos>The capital of the country containing Medellin is,llm-slt-medellin-capital,cmtp5h1s10008udnqvm9h38du,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-medellin-capital&subgraph=cmtp5h1s10008udnqvm9h38du
melbourne-capital,<bos>The capital of the country containing Melbourne is,llm-slt-melbourne-capital,cmtp5hkt00002x0o4cmwuakgc,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-melbourne-capital&subgraph=cmtp5hkt00002x0o4cmwuakgc
memphis-capital,<bos>The capital of the state containing Memphis is,llm-slt-memphis-capital,cmtp5i33u0003caazvoczndu0,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-memphis-capital&subgraph=cmtp5i33u0003caazvoczndu0
miami-capital,<bos>The capital of the state containing Miami is,llm-slt-miami-capital,cmtp61ybx0002108nzl5iic7i,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-miami-capital&subgraph=cmtp61ybx0002108nzl5iic7i
milan-capital,<bos>The capital of the country containing Milan is,llm-slt-milan-capital,cmtp62i0m0005108nlz2225ln,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-milan-capital&subgraph=cmtp62i0m0005108nlz2225ln
milwaukee-capital,<bos>The capital of the state containing Milwaukee is,llm-slt-milwaukee-capital,cmtp6336m0002108fz8skrj93,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-milwaukee-capital&subgraph=cmtp6336m0002108fz8skrj93
minneapolis-capital,<bos>The capital of the state containing Minneapolis is,llm-slt-minneapolis-capital,cmtp63m6k0005108fw88befqk,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-minneapolis-capital&subgraph=cmtp63m6k0005108fw88befqk
montreal-capital,<bos>The capital of the country containing Montreal is,llm-slt-montreal-capital,cmtp645ye0008108fntcjp45s,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-montreal-capital&subgraph=cmtp645ye0008108fntcjp45s
morgantown-capital,<bos>The capital of the state containing Morgantown is,llm-slt-morgantown-capital,cmtp64qa0000b108f1bd064ih,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-morgantown-capital&subgraph=cmtp64qa0000b108f1bd064ih
mount-rushmore-capital,<bos>The capital of the state containing Mount Rushmore is,llm-slt-mount-rushmore-capital,cmtp659zv0002bjhf6w1cvfgu,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-mount-rushmore-capital&subgraph=cmtp659zv0002bjhf6w1cvfgu
mumbai-capital,<bos>The capital of the country containing Mumbai is,llm-slt-mumbai-capital,cmtp6caij0006108nbz30fco2,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-mumbai-capital&subgraph=cmtp6caij0006108nbz30fco2
munich-capital,<bos>The capital of the country containing Munich is,llm-slt-munich-capital,cmtp6cvxh0007108npwn1z7bf,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-munich-capital&subgraph=cmtp6cvxh0007108npwn1z7bf
myrtle-beach-capital,<bos>The capital of the state containing Myrtle Beach is,llm-slt-myrtle-beach-capital,cmtp6dfou00045ec4d96t2muf,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-myrtle-beach-capital&subgraph=cmtp6dfou00045ec4d96t2muf
naples-capital,<bos>The capital of the country containing Naples is,llm-slt-naples-capital,cmtp6kfqr00075ec4ama56srl,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-naples-capital&subgraph=cmtp6kfqr00075ec4ama56srl
nashua-capital,<bos>The capital of the state containing Nashua is,llm-slt-nashua-capital,cmtp6kzjy000a5ec4yyh6vrtt,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-nashua-capital&subgraph=cmtp6kzjy000a5ec4yyh6vrtt
new-haven-capital,<bos>The capital of the state containing New Haven is,llm-slt-new-haven-capital,cmtp6lju1000c108n53ooljvu,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-new-haven-capital&subgraph=cmtp6lju1000c108n53ooljvu
new-orleans-capital,<bos>The capital of the state containing New Orleans is,llm-slt-new-orleans-capital,cmtp6sj3z000f108n0ft50whv,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-new-orleans-capital&subgraph=cmtp6sj3z000f108n0ft50whv
newport-capital,<bos>The capital of the state containing Newport is,llm-slt-newport-capital,cmtp6t2h500021179km7h9re6,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-newport-capital&subgraph=cmtp6t2h500021179km7h9re6
niagara-falls-capital,<bos>The capital of the state containing Niagara Falls is,llm-slt-niagara-falls-capital,cmtp7024t00051179dxg9lbnc,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-niagara-falls-capital&subgraph=cmtp7024t00051179dxg9lbnc
omaha-capital,<bos>The capital of the state containing Omaha is,llm-slt-omaha-capital,cmtp70md200081179vpk6orof,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-omaha-capital&subgraph=cmtp70md200081179vpk6orof
osaka-capital,<bos>The capital of the country containing Osaka is,llm-slt-osaka-capital,cmtp71671000c108fnxz96c0w,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-osaka-capital&subgraph=cmtp71671000c108fnxz96c0w
pearl-harbor-capital,<bos>The capital of the state containing Pearl Harbor is,llm-slt-pearl-harbor-capital,cmtp7867o000211c08f6fqq2f,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-pearl-harbor-capital&subgraph=cmtp7867o000211c08f6fqq2f
philadelphia-capital,<bos>The capital of the state containing Philadelphia is,llm-slt-philadelphia-capital,cmtp78qev000311c0j0pgxt75,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-philadelphia-capital&subgraph=cmtp78qev000311c0j0pgxt75
phuket-capital,<bos>The capital of the country containing Phuket is,llm-slt-phuket-capital,cmtp7fpee0000ifcuk1k0ccvo,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-phuket-capital&subgraph=cmtp7fpee0000ifcuk1k0ccvo
portland-or-capital,<bos>The capital of the state containing Portland is,llm-slt-portland-or-capital,cmtp7g9en0003ifcuoiah857w,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-portland-or-capital&subgraph=cmtp7g9en0003ifcuoiah857w
porto-capital,<bos>The capital of the country containing Porto is,llm-slt-porto-capital,cmtp7gskk000f108ficbrlhdn,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-porto-capital&subgraph=cmtp7gskk000f108ficbrlhdn
provo-capital,<bos>The capital of the state containing Provo is,llm-slt-provo-capital,cmtp7u6t6000i108n0gksrlgm,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-provo-capital&subgraph=cmtp7u6t6000i108n0gksrlgm
rio-de-janeiro-capital,<bos>The capital of the country containing Rio de Janeiro is,llm-slt-rio-de-janeiro-capital,cmtp7urpv000l108nhzilmv3q,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-rio-de-janeiro-capital&subgraph=cmtp7urpv000l108nhzilmv3q
rotterdam-capital,<bos>The capital of the country containing Rotterdam is,llm-slt-rotterdam-capital,cmtp7vb7m000o108ni4klffd1,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-rotterdam-capital&subgraph=cmtp7vb7m000o108ni4klffd1
salzburg-capital,<bos>The capital of the country containing Salzburg is,llm-slt-salzburg-capital,cmtp7vvcv000f11790sx4zwx1,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-salzburg-capital&subgraph=cmtp7vvcv000f11790sx4zwx1
sao-paulo-capital,<bos>The capital of the country containing Sao Paulo is,llm-slt-sao-paulo-capital,cmtp7wfzu000i1179nmt1471b,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-sao-paulo-capital&subgraph=cmtp7wfzu000i1179nmt1471b
savannah-capital,<bos>The capital of the state containing Savannah is,llm-slt-savannah-capital,cmtp83efm0002izsr4ht80o8h,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-savannah-capital&subgraph=cmtp83efm0002izsr4ht80o8h
seattle-capital,<bos>The capital of the state containing Seattle is,llm-slt-seattle-capital,cmtp83xv70005izsr6ooeet5q,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-seattle-capital&subgraph=cmtp83xv70005izsr6ooeet5q
seville-capital,<bos>The capital of the country containing Seville is,llm-slt-seville-capital,cmtp8awr10008izsrzz5bnibm,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-seville-capital&subgraph=cmtp8awr10008izsrzz5bnibm
shanghai-capital,<bos>The capital of the country containing Shanghai is,llm-slt-shanghai-capital,cmtp8bg3s000bizsr7kh7j6z7,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-shanghai-capital&subgraph=cmtp8bg3s000bizsr7kh7j6z7
south-bend-capital,<bos>The capital of the state containing South Bend is,llm-slt-south-bend-capital,cmtp8bz63000p108nkd7rvdar,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-south-bend-capital&subgraph=cmtp8bz63000p108nkd7rvdar
st-louis-capital,<bos>The capital of the state containing St. Louis is,llm-slt-st-louis-capital,cmtp8izi20002axa07ll4i46a,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-st-louis-capital&subgraph=cmtp8izi20002axa07ll4i46a
st-petersburg-capital,<bos>The capital of the country containing St. Petersburg is,llm-slt-st-petersburg-capital,cmtp8jjr2000s108nfva29ao5,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-st-petersburg-capital&subgraph=cmtp8jjr2000s108nfva29ao5
sydney-capital,<bos>The capital of the country containing Sydney is,llm-slt-sydney-capital,cmtp8k2ep0005axa0wjud09qu,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-sydney-capital&subgraph=cmtp8k2ep0005axa0wjud09qu
thessaloniki-capital,<bos>The capital of the country containing Thessaloniki is,llm-slt-thessaloniki-capital,cmtp8kl210008axa0cpchgcq2,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-thessaloniki-capital&subgraph=cmtp8kl210008axa0cpchgcq2
toronto-capital,<bos>The capital of the country containing Toronto is,llm-slt-toronto-capital,cmtp8rkrc0002tfzkqgn8bk59,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-toronto-capital&subgraph=cmtp8rkrc0002tfzkqgn8bk59
tulsa-capital,<bos>The capital of the state containing Tulsa is,llm-slt-tulsa-capital,cmtp8s4gf0000r7ngd1wel1bv,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-tulsa-capital&subgraph=cmtp8s4gf0000r7ngd1wel1bv
twin-falls-capital,<bos>The capital of the state containing Twin Falls is,llm-slt-twin-falls-capital,cmtp8sou10003r7ng2qexpj9r,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-twin-falls-capital&subgraph=cmtp8sou10003r7ng2qexpj9r
valencia-capital,<bos>The capital of the country containing Valencia is,llm-slt-valencia-capital,cmtp8znzw0002eyqkjawulak3,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-valencia-capital&subgraph=cmtp8znzw0002eyqkjawulak3
vancouver-capital,<bos>The capital of the country containing Vancouver is,llm-slt-vancouver-capital,cmtp906w50005eyqkrqd7k4kj,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-vancouver-capital&subgraph=cmtp906w50005eyqkrqd7k4kj
venice-capital,<bos>The capital of the country containing Venice is,llm-slt-venice-capital,cmtp90r3t0005tfzkvtuhetwn,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-venice-capital&subgraph=cmtp90r3t0005tfzkvtuhetwn
virginia-beach-capital,<bos>The capital of the state containing Virginia Beach is,llm-slt-virginia-beach-capital,cmtp97rww0008eyqkw3j8h341,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-virginia-beach-capital&subgraph=cmtp97rww0008eyqkw3j8h341
wichita-capital,<bos>The capital of the state containing Wichita is,llm-slt-wichita-capital,cmtp98b0d000atfzkdr6drbqh,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-wichita-capital&subgraph=cmtp98b0d000atfzkdr6drbqh
wilmington-capital,<bos>The capital of the state containing Wilmington is,llm-slt-wilmington-capital,cmtp98v7g000dtfzk3bxowy46,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-wilmington-capital&subgraph=cmtp98v7g000dtfzk3bxowy46
