slug,prompt,intermediate_concept,correct_answer,hop_type,notes
list-of-island-countries-s5-10-pl,Australia is not included as it is considered a continental,N/A,country,next-token prediction,wikipedia article: List of island countries | top1_prob: 0.395
british-raj-s11-8-pl,The British Raj extended over almost all present-day,N/A,india,next-token prediction,wikipedia article: British Raj | top1_prob: 0.405
farmer-not-so-john-album-s1-9-pl,The albums was recorded at Recorded at Monkey Finger,N/A,studios,next-token prediction,wikipedia article: Farmer Not So John (album) | top1_prob: 0.394
military-of-the-mongol-empire-s2-12-pl,"Today, the former Mongol Empire remains the world's largest polity to have",N/A,ever,next-token prediction,wikipedia article: Military of the Mongol Empire | top1_prob: 0.394
impressionism-in-music-s6-15-pl,"Claude Debussy and Maurice Ravel are two leading figures in Impressionism, though Debussy rejected this",N/A,label,next-token prediction,wikipedia article: Impressionism in music | top1_prob: 0.394
erica-bolusiae-s0-13-pl,Erica bolusiae is a plant that belongs to the genus Erica and forms,N/A,part,next-token prediction,wikipedia article: Erica bolusiae | top1_prob: 0.394
venous-cutdown-s8-12-pl,"Complications of venous cutdown include cellulitis, hematoma, phlebitis, perforation of the posterior",N/A,wall,next-token prediction,wikipedia article: Venous cutdown | top1_prob: 0.406
pluralism-political-philosophy-s1-14-pl,"While not all political pluralists advocate for a pluralist democracy, this is the most",N/A,common,next-token prediction,wikipedia article: Pluralism (political philosophy) | top1_prob: 0.393
2019-amazon-rainforest-wildfires-s19-12-pl,"From a global climate perspective, the Amazon has been the world's largest",N/A,carbon,next-token prediction,wikipedia article: 2019 Amazon rainforest wildfires | top1_prob: 0.407
future-of-space-exploration-s21-9-pl,NASA has also reported research investment in microbial vaccine,N/A,development,next-token prediction,wikipedia article: Future of space exploration | top1_prob: 0.407
proton-band-s4-8-pl,Live at Mojo's (2001) Here Beneath The Big,N/A,top,next-token prediction,wikipedia article: Proton (band) | top1_prob: 0.393
gerda-hasselfeldt-s7-8-pl,Hasselfeldt was financial policy spokeswoman for the CDU/CSU,N/A,parliamentary,next-token prediction,wikipedia article: Gerda Hasselfeldt | top1_prob: 0.407
douglas-mccrory-s21-10-pl,"His opponents were Republican Michael McDonald, a former Windsor town",N/A,council,next-token prediction,wikipedia article: Douglas McCrory | top1_prob: 0.407
desert-s18-11-pl,Plants tend to be tough and wiry with small or no,N/A,leaves,next-token prediction,wikipedia article: Desert | top1_prob: 0.393
gutalac-s17-12-pl,Gutalac National High School - Mamawan Annex Riverside Community School (General Academic,N/A,strand,next-token prediction,wikipedia article: Gutalac | top1_prob: 0.407
gerda-hasselfeldt-s20-15-pl,When members of the Merkel's Christian Democrats in 2012 called on parliament to grant gay,N/A,couples,next-token prediction,wikipedia article: Gerda Hasselfeldt | top1_prob: 0.407
frans-van-dessel-s2-12-pl,Frans Van Dessel at WorldFootball.net Frans Van Dessel at the Belgian Football,N/A,association,next-token prediction,wikipedia article: Frans Van Dessel | top1_prob: 0.408
california-coast-ranges-s14-13-pl,These abandoned mines are still a source of mine waste runoff in Cache,N/A,creek,next-token prediction,wikipedia article: California Coast Ranges | top1_prob: 0.408
cultural-anthropology-s25-14-pl,"Morgan, like other 19th-century social evolutionists, believed there was a more or less orderly",N/A,progression,next-token prediction,wikipedia article: Cultural anthropology | top1_prob: 0.408
1943-australian-house-of-representatives-election-s1-11-pl,Candidates of the 1943 Australian federal election Members of the Australian,N/A,house,next-token prediction,wikipedia article: 1943 Australian House of Representatives election | top1_prob: 0.392
deir-abu-mash-al-s4-10-pl,"Sherds from the Byzantine, Byzantine/Umayyad and Crusader/Ayyubid eras have been",N/A,found,next-token prediction,wikipedia article: Deir Abu Mash'al | top1_prob: 0.408
military-operations-in-north-africa-during-world-war-i-s17-9-pl,The means to bring about change in the non-European,N/A,world,next-token prediction,wikipedia article: Military operations in North Africa during World War I | top1_prob: 0.391
2001-uk-championship-s7-13-pl,"Peter Ebdon compiled the highest break, a 143, in his last 32 match",N/A,against,next-token prediction,wikipedia article: 2001 UK Championship | top1_prob: 0.409
winter-olympic-games-s22-10-pl,"Also, Czechoslovakia participated in all Winter Olympic Games before its",N/A,dissolution,next-token prediction,wikipedia article: Winter Olympic Games | top1_prob: 0.409
ancient-greek-philosophy-s32-11-pl,"Anaximenes in turn held that the arche was air, although John",N/A,burnet,next-token prediction,wikipedia article: Ancient Greek philosophy | top1_prob: 0.409
streak-backed-oriole-s80-10-pl,There are also confirmed records of the species as far,N/A,north,next-token prediction,wikipedia article: Streak-backed oriole | top1_prob: 0.391
samuel-w-oliver-s3-13-pl,"Oliver was born in Charlotte County, Virginia and spent part of his early",N/A,life,next-token prediction,wikipedia article: Samuel W. Oliver | top1_prob: 0.409
chinatown-film-festival-s8-14-pl,"A gala in November 2007 at Jing Fung Restaurant, with over 700 attendees, helped",N/A,raise,next-token prediction,wikipedia article: Chinatown Film Festival | top1_prob: 0.409
periods-in-western-art-history-s2-10-pl,Minoan art Aegean art Ancient Greek art Roman art Early,N/A,christian,next-token prediction,wikipedia article: Periods in Western art history | top1_prob: 0.409
new-life-young-again-in-another-world-s5-12-pl,Following the controversy that broke out after the announcement of the anime,N/A,adaptation,next-token prediction,wikipedia article: New Life+: Young Again in Another World | top1_prob: 0.409
soap-opera-s4-12-pl,"BBC Radio's The Archers, first broadcast in 1950, is the world's longest-running",N/A,soap,next-token prediction,wikipedia article: Soap opera | top1_prob: 0.391
2022-toronto-blue-jays-season-s0-10-pl,The 2022 Toronto Blue Jays season was the franchise's 46th,N/A,season,next-token prediction,wikipedia article: 2022 Toronto Blue Jays season | top1_prob: 0.391
ancient-egypt-s23-10-pl,"By about 5500 BC, small tribes living in the Nile",N/A,valley,next-token prediction,wikipedia article: Ancient Egypt | top1_prob: 0.409
a-day-in-the-life-of-lakshmi-manchu-s-feet-s0-12-pl,A Day in the Life of Lakshmi Manchu's Feet is a 2014,N/A,indian,next-token prediction,wikipedia article: A Day in the Life of Lakshmi Manchu's Feet | top1_prob: 0.390
marcelo-mirisola-s4-10-pl,"Mirisola holds a bachelor's degree in law, but has never",N/A,practiced,next-token prediction,wikipedia article: Marcelo Mirisola | top1_prob: 0.390
newbridge-lodge-s10-10-pl,Both the lodge and the gates are Grade I listed,N/A,buildings,next-token prediction,wikipedia article: Newbridge Lodge | top1_prob: 0.410
agnes-sanford-s17-12-pl,"Written from a scientific and metaphysical perspective, it appealed to a wide",N/A,audience,next-token prediction,wikipedia article: Agnes Sanford | top1_prob: 0.389
peter-van-dalen-s7-8-pl,"From 1990 to 2009, van Dalen held increasingly",N/A,senior,next-token prediction,wikipedia article: Peter van Dalen | top1_prob: 0.389
total-social-security-accounts-s25-11-pl,The 2003 edition provided for the first time information on almost,N/A,all,next-token prediction,wikipedia article: Total Social Security Accounts | top1_prob: 0.411
misha-gabriel-s0-10-pl,"Misha Gabriel (born May 13, 1987), also known as Misha",N/A,gabriel,next-token prediction,wikipedia article: Misha Gabriel | top1_prob: 0.411
erich-b-hme-s16-9-pl,Even after his time as editor of the Berliner,N/A,zeitung,next-token prediction,wikipedia article: Erich Böhme | top1_prob: 0.388
a-vigilante-s11-9-pl,Sadie then helps a young woman escape from her,N/A,abusive,next-token prediction,wikipedia article: A Vigilante | top1_prob: 0.412
mike-lerner-musician-s7-9-pl,Lerner is endorsed by Ibanez Guitars and is often,N/A,seen,next-token prediction,wikipedia article: Mike Lerner (musician) | top1_prob: 0.388
ak-chin-regional-airport-s6-10-pl,List of airports in Arizona Resources for this airport: FAA,N/A,airport,next-token prediction,wikipedia article: Ak-Chin Regional Airport | top1_prob: 0.388
history-of-sport-in-china-s6-14-pl,"By the second half of the century, sport became part of the national Self-Strengthening",N/A,movement,next-token prediction,wikipedia article: History of sport in China | top1_prob: 0.388
nybroviken-s18-9-pl,Land fillings and garbage gradually transformed it to standing,N/A,water,next-token prediction,wikipedia article: Nybroviken | top1_prob: 0.412
frederick-h-ecker-s8-12-pl,"In 1941, the company invested in large garden apartment developments in San",N/A,francisco,next-token prediction,wikipedia article: Frederick H. Ecker | top1_prob: 0.387
live-uncensored-s1-11-pl,"The album shows what her shows were like, from tender romantic",N/A,ballads,next-token prediction,wikipedia article: Live & Uncensored | top1_prob: 0.387
oskuya-s4-9-pl,The source of the Oskuya is in the western,N/A,part,next-token prediction,wikipedia article: Oskuya | top1_prob: 0.413
pseudoxanthomonas-koreensis-s0-9-pl,"Pseudoxanthomonas koreensis is a species of Gram-negative, non-spore-forming, rod-shaped",N/A,bacteria,next-token prediction,wikipedia article: Pseudoxanthomonas koreensis | top1_prob: 0.413
economy-of-bengaluru-s8-10-pl,"In 2014, Bangalore contributed US$45 billion, or 38% of India's",N/A,total,next-token prediction,wikipedia article: Economy of Bengaluru | top1_prob: 0.387
a-day-in-the-life-of-lakshmi-manchu-s-feet-s5-10-pl,The short was released directly on YouTube on the following,N/A,day,next-token prediction,wikipedia article: A Day in the Life of Lakshmi Manchu's Feet | top1_prob: 0.387
flare3d-s11-13-pl,"The Flare3D engine uses Stage3D for GPU-accelerated rendering, and contains support for rigid",N/A,body,next-token prediction,wikipedia article: Flare3D | top1_prob: 0.414
mroh6-s26-14-pl,Other studies have identified changes in MROH6 expression as a possible contributor to male,N/A,infertility,next-token prediction,wikipedia article: MROH6 | top1_prob: 0.386
nayoro-s17-8-pl,"In 1920, Chiebun village split off from Shimonayoro",N/A,village,next-token prediction,wikipedia article: Nayoro | top1_prob: 0.414
2019-20-toronto-raptors-season-s11-9-pl,Raptors Franchise Icon Kyle Lowry made his 6th straight,N/A,all,next-token prediction,wikipedia article: 2019–20 Toronto Raptors season | top1_prob: 0.414
dutch-open-tennis-s8-9-pl,"In 2019, the tournament returned as an ATP Challenger",N/A,tour,next-token prediction,wikipedia article: Dutch Open (tennis) | top1_prob: 0.386
abidabad-s2-10-pl,Afridi Colony Gulshan-e-Ghazi Islamnagar Ittehad Town Muhajir Camp Muslim Mujahid,N/A,colony,next-token prediction,wikipedia article: Abidabad | top1_prob: 0.415
new-dorp-light-s4-12-pl,The original beacon was a second-order range lens showing a fixed red,N/A,light,next-token prediction,wikipedia article: New Dorp Light | top1_prob: 0.415
list-of-ambassadors-of-australia-to-hungary-s0-12-pl,The Ambassador of Australia to Hungary is an officer of the Australian,N/A,department,next-token prediction,wikipedia article: List of ambassadors of Australia to Hungary | top1_prob: 0.385
1933-new-york-city-aldermanic-election-s0-11-pl,"Elections were held on November 7, 1933, to fill the 65",N/A,seats,next-token prediction,wikipedia article: 1933 New York City aldermanic election | top1_prob: 0.415
wildwood-saskatoon-s41-15-pl,"In the late 1990s, Wildwood Mall (which had been struggling since losing one of its",N/A,anchor,next-token prediction,"wikipedia article: Wildwood, Saskatoon | top1_prob: 0.415"
allen-tupper-true-s31-11-pl,The Senate and the House of Representatives chambers of the Wyoming,N/A,state,next-token prediction,wikipedia article: Allen Tupper True | top1_prob: 0.415
sand-point-airport-s2-11-pl,Scheduled airline service to Anchorage International Airport is provided by Peninsula,N/A,airways,next-token prediction,wikipedia article: Sand Point Airport | top1_prob: 0.416
opera-experiment-s0-14-pl,The Oscillation Project with Emulsion-tRacking Apparatus (OPERA) was an instrument used in a scientific,N/A,experiment,next-token prediction,wikipedia article: OPERA experiment | top1_prob: 0.384
etihad-club-s12-9-pl,As of 13 September 2025 Note: Flags indicate national,N/A,team,next-token prediction,wikipedia article: Etihad Club | top1_prob: 0.416
gerda-hasselfeldt-s24-8-pl,Just 12 miles (19 km) from the Bavarian,N/A,capital,next-token prediction,wikipedia article: Gerda Hasselfeldt | top1_prob: 0.416
medieval-music-s23-10-pl,"These were three-part secular pieces, which featured the two higher",N/A,voices,next-token prediction,wikipedia article: Medieval music | top1_prob: 0.417
1869-united-states-senate-election-in-new-york-s43-8-pl,"Fenton served one term, and remained in office",N/A,until,next-token prediction,wikipedia article: 1869 United States Senate election in New York | top1_prob: 0.383
metering-mode-s4-11-pl,"With spot metering, the camera will measure only a very small",N/A,area,next-token prediction,wikipedia article: Metering mode | top1_prob: 0.383
17th-ali-ibn-abi-taleb-division-s8-15-pl,"In the fourth phase of the Operation Ramadan, Mehdi Zeinoddin was appointed as the new",N/A,commander,next-token prediction,wikipedia article: 17th Ali ibn Abi Taleb Division | top1_prob: 0.382
sd-beasain-s4-8-pl,As of 1 March 2026 Note: Flags indicate,N/A,national,next-token prediction,wikipedia article: SD Beasain | top1_prob: 0.382
pierre-essers-s0-13-pl,"Pierre Essers (born 20 February 1959 in Maastricht, Netherlands) is a Dutch former",N/A,professional,next-token prediction,wikipedia article: Pierre Essers | top1_prob: 0.382
the-bird-and-the-rifle-s0-8-pl,The Bird and the Rifle is the ninth,N/A,studio,next-token prediction,wikipedia article: The Bird and the Rifle | top1_prob: 0.418
shoeburyness-railway-station-s42-11-pl,"Public goods services ceased on 5 June 1967, although military trains",N/A,continued,next-token prediction,wikipedia article: Shoeburyness railway station | top1_prob: 0.418
ryan-johnson-marine-scientist-s25-8-pl,The expedition was filmed as a 10 part,N/A,series,next-token prediction,wikipedia article: Ryan Johnson (marine scientist) | top1_prob: 0.418
ancient-greek-s19-14-pl,"Some dialects are found in standardized literary forms in literature, while others are attested",N/A,only,next-token prediction,wikipedia article: Ancient Greek | top1_prob: 0.418
kleinmachnow-s12-12-pl,"Since 1996, Kleinmachnow has a separate motorway connection to the German federal",N/A,motorway,next-token prediction,wikipedia article: Kleinmachnow | top1_prob: 0.419
gleb-w-derujinsky-s14-14-pl,In 1933 he was elected into the National Academy of Design as an Associate,N/A,member,next-token prediction,wikipedia article: Gleb W. Derujinsky | top1_prob: 0.419
sealdah-berhampore-court-memu-s1-11-pl,The train runs with an average speed of 41 km/h (25,N/A,mph,next-token prediction,wikipedia article: Sealdah–Berhampore Court MEMU | top1_prob: 0.381
joseph-newburger-house-s3-10-pl,The house has been home to the Memphis Theological Seminary,N/A,since,next-token prediction,wikipedia article: Joseph Newburger House | top1_prob: 0.381
island-country-s34-8-pl,Some island countries are more affected than other,N/A,countries,next-token prediction,wikipedia article: Island country | top1_prob: 0.419
jack-falahee-s29-15-pl,"Students learn about the process of growing, harvesting, sourcing and cooking food and examine their",N/A,own,next-token prediction,wikipedia article: Jack Falahee | top1_prob: 0.380
eat-lights-become-lights-s32-9-pl,Nature Reserve (Eat Lights Recordings / The Great Pop,N/A,supplement,next-token prediction,wikipedia article: Eat Lights Become Lights | top1_prob: 0.420
itz-valley-autobahn-bridge-coburg-s3-8-pl,Constructed between 2004 and 2007 for a total,N/A,cost,next-token prediction,wikipedia article: Itz Valley Autobahn Bridge (Coburg) | top1_prob: 0.380
allies-of-world-war-i-s33-11-pl,"Like the Anglo-Japanese and Entente agreements, it focused on settling colonial",N/A,disputes,next-token prediction,wikipedia article: Allies of World War I | top1_prob: 0.380
1997-minnesota-golden-gophers-football-team-s6-12-pl,"Total attendance for the season was 269,385, which averaged out to 44,897",N/A,per,next-token prediction,wikipedia article: 1997 Minnesota Golden Gophers football team | top1_prob: 0.420
1990s-in-sociology-s11-9-pl,Briefe 1906-1908 is published and wins the European Amalfi,N/A,prize,next-token prediction,wikipedia article: 1990s in sociology | top1_prob: 0.420
etihad-club-s5-9-pl,"Two years later, the club achieved the Division 1",N/A,title,next-token prediction,wikipedia article: Etihad Club | top1_prob: 0.420
astronomy-s43-14-pl,"With the arrival of Hellenistic astronomy in India through trade and cultural contacts, Indian",N/A,astronomy,next-token prediction,wikipedia article: Astronomy | top1_prob: 0.380
medieval-philosophy-s25-8-pl,"After the revival of the Roman Empire, Western",N/A,europe,next-token prediction,wikipedia article: Medieval philosophy | top1_prob: 0.420
the-london-house-sessions-s2-15-pl,"Those albums are included as part of the complete Sessions, along with 23 previously unreleased",N/A,tracks,next-token prediction,wikipedia article: The London House Sessions | top1_prob: 0.379
spacex-s19-13-pl,"In early 2001, Elon Musk met Robert Zubrin and donated $100,000 to his",N/A,mars,next-token prediction,wikipedia article: SpaceX | top1_prob: 0.379
lgbtq-literature-s3-12-pl,LGBTQ literature may refer to: Works by LGBTQ authors Works centering LGBTQ,N/A,characters,next-token prediction,wikipedia article: LGBTQ literature | top1_prob: 0.421
ancient-egypt-s0-11-pl,Ancient Egypt was a cradle of civilization concentrated along the lower,N/A,reaches,next-token prediction,wikipedia article: Ancient Egypt | top1_prob: 0.379
gothic-architecture-s13-9-pl,A series of Gothic revivals began in mid-18th century,N/A,england,next-token prediction,wikipedia article: Gothic architecture | top1_prob: 0.421
photography-s7-13-pl,"Before the emergence of digital photography, photographs that utilized film had to be",N/A,developed,next-token prediction,wikipedia article: Photography | top1_prob: 0.379
awaza-s36-12-pl,"As of August 2025, Awaza has 18 hotels, 8 recreation and wellness",N/A,centers,next-token prediction,wikipedia article: Awaza | top1_prob: 0.378
twofold-bay-and-maneroo-observer-s5-14-pl,The Twofold Bay and Maneroo Observer has been digitised as part of the Australian,N/A,newspapers,next-token prediction,wikipedia article: Twofold Bay and Maneroo Observer | top1_prob: 0.378
chemistry-s10-12-pl,Alchemy is often associated with the quest to turn lead or other,N/A,base,next-token prediction,wikipedia article: Chemistry | top1_prob: 0.422
gentilly-river-minnesota-s2-9-pl,List of rivers of Minnesota Minnesota Watersheds USGS Hydrologic,N/A,unit,next-token prediction,wikipedia article: Gentilly River (Minnesota) | top1_prob: 0.422
girls-of-today-1955-film-s0-10-pl,Girls of Today (Italian: Ragazze d'oggi) is a 1955 Italian,N/A,comedy,next-token prediction,wikipedia article: Girls of Today (1955 film) | top1_prob: 0.378
oregon-route-53-s5-12-pl,"Soon after leaving the city, the highway begins to follow the North",N/A,fork,next-token prediction,wikipedia article: Oregon Route 53 | top1_prob: 0.378
foul-play-suspected-s2-9-pl,"The novel's protagonist, Detective-Inspector Jordon, also appears in two",N/A,other,next-token prediction,wikipedia article: Foul Play Suspected | top1_prob: 0.377
ixion-video-game-s0-9-pl,Ixion is a city building survival simulation video game,N/A,developed,next-token prediction,wikipedia article: Ixion (video game) | top1_prob: 0.423
1790-house-s2-9-pl,"The 1790 House, originally on Main Street, has been",N/A,moved,next-token prediction,wikipedia article: 1790 House | top1_prob: 0.377
anel-ahmedhod-i-s31-14-pl,"On 12 October 2021, in a 2022 FIFA World Cup qualifier against Ukraine, he",N/A,scored,next-token prediction,wikipedia article: Anel Ahmedhodžić | top1_prob: 0.376
photography-s36-9-pl,"The fiction book Giphantie, published in 1760, by French",N/A,author,next-token prediction,wikipedia article: Photography | top1_prob: 0.424
michael-tangl-s15-13-pl,"In 1895 he was appointed at the University of Marburg, at their newly",N/A,founded,next-token prediction,wikipedia article: Michael Tangl | top1_prob: 0.376
2011-sioux-falls-storm-season-s0-14-pl,The 2011 Sioux Falls Storm season was the team's twelfth season as a professional,N/A,indoor,next-token prediction,wikipedia article: 2011 Sioux Falls Storm season | top1_prob: 0.376
j-raymond-mcgovern-s4-8-pl,McGovern graduated from Fordham University and the Fordham,N/A,university,next-token prediction,wikipedia article: J. Raymond McGovern | top1_prob: 0.424
desert-s0-8-pl,A desert is a landscape where little precipitation,N/A,occurs,next-token prediction,wikipedia article: Desert | top1_prob: 0.424
climate-change-denial-s20-13-pl,"But the word ""skepticism"" is incorrectly used, as scientific skepticism is an intrinsic",N/A,part,next-token prediction,wikipedia article: Climate change denial | top1_prob: 0.424
if-i-could-fall-in-love-s3-10-pl,The music video features Lenny performing the song in various,N/A,locations,next-token prediction,wikipedia article: If I Could Fall in Love | top1_prob: 0.376
twofold-bay-and-maneroo-observer-s6-8-pl,List of newspapers in New South Wales Twofold,N/A,bay,next-token prediction,wikipedia article: Twofold Bay and Maneroo Observer | top1_prob: 0.424
2024-fim-motocross-world-championship-s2-9-pl,"The reigning MX2 world champion, Andrea Adamo, defended his",N/A,title,next-token prediction,wikipedia article: 2024 FIM Motocross World Championship | top1_prob: 0.376
recent-human-evolution-s30-9-pl,The fact that some of the ancestors of modern,N/A,humans,next-token prediction,wikipedia article: Recent human evolution | top1_prob: 0.424
2024-fim-motocross-world-championship-s1-12-pl,"In the MXGP class, Jorge Prado started the season as the reigning",N/A,champion,next-token prediction,wikipedia article: 2024 FIM Motocross World Championship | top1_prob: 0.424
1980s-in-sociology-s63-15-pl,The European Amalfi Prize for Sociology and Social Sciences gives its first award to Norbert,N/A,elias,next-token prediction,wikipedia article: 1980s in sociology | top1_prob: 0.375
history-of-computer-science-s1-11-pl,Developments in previous centuries alluded to the discipline that we now,N/A,know,next-token prediction,wikipedia article: History of computer science | top1_prob: 0.375
jackson-township-elkhart-county-indiana-s11-12-pl,United States Census Bureau cartographic boundary files Indiana Township Association United Township,N/A,association,next-token prediction,"wikipedia article: Jackson Township, Elkhart County, Indiana | top1_prob: 0.425"
opera-s1-9-pl,"Such a ""work"" (the literal translation of the Italian",N/A,word,next-token prediction,wikipedia article: Opera | top1_prob: 0.375
2017-18-tcu-horned-frogs-women-s-basketball-team-s2-9-pl,The Horned Frogs were members of the Big 12,N/A,conference,next-token prediction,wikipedia article: 2017–18 TCU Horned Frogs women's basketball team | top1_prob: 0.375
haunted-arrow-s31-9-pl,"Constantine travels with Oliver and Laurel to the ""other",N/A,side,next-token prediction,wikipedia article: Haunted (Arrow) | top1_prob: 0.374
lgbtq-literature-s3-8-pl,LGBTQ literature may refer to: Works by LGBTQ,N/A,authors,next-token prediction,wikipedia article: LGBTQ literature | top1_prob: 0.426
spacex-s39-11-pl,"In 2006, the company was selected by NASA and awarded $396",N/A,million,next-token prediction,wikipedia article: SpaceX | top1_prob: 0.426
a-vigilante-s39-10-pl,"The website's critical consensus reads, ""Led by Olivia Wilde's fearless",N/A,performance,next-token prediction,wikipedia article: A Vigilante | top1_prob: 0.373
cannabis-in-laos-s2-10-pl,Cannabis is illegal and public usage can land someone 12,N/A,months,next-token prediction,wikipedia article: Cannabis in Laos | top1_prob: 0.427
morphology-linguistics-s24-8-pl,"In Kwak'wala, as in a great many other",N/A,languages,next-token prediction,wikipedia article: Morphology (linguistics) | top1_prob: 0.427
cinema-of-india-s9-8-pl,"In 2021, Telugu cinema emerged as the largest",N/A,film,next-token prediction,wikipedia article: Cinema of India | top1_prob: 0.373
linhuai-commandery-s3-9-pl,"In late Western Han period, the commandery administered 29",N/A,counties,next-token prediction,wikipedia article: Linhuai Commandery | top1_prob: 0.427
islam-in-the-comoros-s46-9-pl,A 2018 constitutional amendment pushed by Azali established Sunni,N/A,islam,next-token prediction,wikipedia article: Islam in the Comoros | top1_prob: 0.373
brady-basso-s0-11-pl,"Brady Marshall Basso (born October 8, 1997) is an American professional",N/A,baseball,next-token prediction,wikipedia article: Brady Basso | top1_prob: 0.373
breaking-away-s11-14-pl,"His down-to-earth father, Ray, a former stonecutter who now operates his own used car",N/A,business,next-token prediction,wikipedia article: Breaking Away | top1_prob: 0.372
keegan-ritchie-s0-11-pl,Keegan Ritchie (born 3 July 1990) is a South African football,N/A,player,next-token prediction,wikipedia article: Keegan Ritchie | top1_prob: 0.372
2008-09-euroleague-women-s0-9-pl,The 2008-09 season was the 13th edition of Europe's,N/A,premier,next-token prediction,wikipedia article: 2008–09 EuroLeague Women | top1_prob: 0.428
new-life-young-again-in-another-world-s23-14-pl,"On June 6, 2018, voice actors Toshiki Masuda, Megumi Nakajima, and Kiyono Yasuno simultaneously",N/A,announced,next-token prediction,wikipedia article: New Life+: Young Again in Another World | top1_prob: 0.372
socialist-economics-s11-15-pl,"The goal of socialist economics is to neutralize capital, or in the case of market",N/A,socialism,next-token prediction,wikipedia article: Socialist economics | top1_prob: 0.372
photovoltaic-system-s8-15-pl,"Due to the growth of photovoltaics, prices for PV systems have rapidly declined since their",N/A,introduction,next-token prediction,wikipedia article: Photovoltaic system | top1_prob: 0.429
