slug,prompt,intermediate_concept,correct_answer,hop_type,notes
lotus-motor-vessel-s25-13-ctx,"Newell moved the yacht to a marina in Olympia, where the yacht remained. In 1981, Gruye bought the yacht back from Newell, and began an extensive",N/A,restoration,next-token prediction,wikipedia article: Lotus (motor vessel) | top1_prob: 0.405
classical-music-s19-9-ctx,"Many composers actively avoided past techniques and genres in the lens of modernism, with some abandoning tonality in place of serialism, while others found new inspiration in folk melodies or impressionist sentiments. After World War II, for the first time audience",N/A,members,next-token prediction,wikipedia article: Classical music | top1_prob: 0.395
psychology-s14-14-ctx,"Some, but not all, clinical and counseling psychologists rely on symbolic interpretation. While psychological knowledge is often applied to the assessment and treatment of mental health",N/A,problems,next-token prediction,wikipedia article: Psychology | top1_prob: 0.405
list-of-geological-features-on-charon-s9-9-ctx,"On 11 April 2018, the IAU announced that several of the feature names had been officially recognized. As of December 2025, this list contains 55 geological",N/A,features,next-token prediction,wikipedia article: List of geological features on Charon | top1_prob: 0.406
joran-the-princess-of-snow-and-blood-s2-14-ctx,"Based on the 1973 film Lady Snowblood, itself an adaptation of the manga series of the same name by Kazuo Koike and Kazuo Kamimura, the series aired from April to June 2021. Joran is set in an alternate historical Japan, the 64th year of the Meiji",N/A,era,next-token prediction,wikipedia article: Joran: The Princess of Snow and Blood | top1_prob: 0.406
rural-municipality-of-mount-pleasant-no-2-s10-12-ctx,"Localities Elmore In the 2021 Census of Population conducted by Statistics Canada, the RM of Mount Pleasant No. 2 had a population of 419 living in 152 of its 182",N/A,total,next-token prediction,wikipedia article: Rural Municipality of Mount Pleasant No. 2 | top1_prob: 0.394
behavioural-genetics-s18-12-ctx,"In 1869, 10 years after Darwin's On the Origin of Species, Galton published his results in Hereditary Genius. In this work, Galton found that the rate of ""eminence"" was highest",N/A,among,next-token prediction,wikipedia article: Behavioural genetics | top1_prob: 0.406
island-s15-9-ctx,"Islands became the target of colonization by Europeans, resulting in the majority of islands in the Pacific being put under European control. Decolonization has resulted in some but not all island",N/A,nations,next-token prediction,wikipedia article: Island | top1_prob: 0.406
comparison-of-top-chess-players-throughout-history-s2-9-ctx,"There is agreement on a statistical system to rate the strengths of current players, called the Elo system, but disagreement about methods used to compare players from different generations who never competed against each other. This is because the Elo system can only compare",N/A,players,next-token prediction,wikipedia article: Comparison of top chess players throughout history | top1_prob: 0.394
johnsville-meetinghouse-s1-12-ctx,"Johnsville Meetinghouse, also known as Johnsville Old German Baptist Meetinghouse, is a historic Old German Baptist Brethren meeting house located near Catawba, Roanoke County, Virginia. It was built in 1874, and is a simple, one story, one",N/A,room,next-token prediction,wikipedia article: Johnsville Meetinghouse | top1_prob: 0.394
chulayarnnon-siriphol-s12-10-ctx,"However, it faced censorship and prohibition due to its perceived infringement of Thailand's social norms under Article 29 of the country's Film and Video Act of 2008. ""Birth of Golden Snail"" incorporates both experimental and early silent",N/A,film,next-token prediction,wikipedia article: Chulayarnnon Siriphol | top1_prob: 0.392
human-genetics-s4-15-ctx,"Study of human genetics can answer questions about human nature, can help understand diseases and the development of effective treatment and help us to understand the genetics of human life. This article describes only basic features of human genetics; for the genetics of disorders please",N/A,see,next-token prediction,wikipedia article: Human genetics | top1_prob: 0.409
ancient-greek-philosophy-s15-14-ctx,"The convention of terming those philosophers who were active prior to the death of Socrates as the pre-Socratics gained currency with the 1903 publication of Hermann Diels' Fragmente der Vorsokratiker, although the term did not originate with him. The term is considered useful because what came to be known as the ""Athenian",N/A,school,next-token prediction,wikipedia article: Ancient Greek philosophy | top1_prob: 0.391
on-photography-s34-9-ctx,Includes endnotes. Earlier versions of these essays appeared in The New,N/A,york,next-token prediction,wikipedia article: On Photography | top1_prob: 0.391
history-of-artificial-intelligence-s33-15-ctx,"Stories of these creatures and their fates consider many of the same hopes, fears and ethical concerns that are presented by modern artificial intelligence. Issues relevant to AI were also discussed in speculative essays such as Samuel Butler's ""Darwin",N/A,among,next-token prediction,wikipedia article: History of artificial intelligence | top1_prob: 0.409
set-theory-music-s8-12-ctx,"For example, musicians use the terms transposition and inversion where mathematicians would use translation and reflection. Furthermore, where musical set theory refers to ordered sets, mathematics would normally",N/A,refer,next-token prediction,wikipedia article: Set theory (music) | top1_prob: 0.391
geologic-time-scale-s20-8-ctx,The principle of cross-cutting relationships that states a rock that cuts across another rock must be younger than the rock it cuts across. The law of included fragments that states small,N/A,fragments,next-token prediction,wikipedia article: Geologic time scale | top1_prob: 0.391
lgbtq-literature-s3-12-ctx,There are LGBTQ literary awards to recognize works in this tradition. LGBTQ literature may refer to: Works by LGBTQ authors Works centering LGBTQ,N/A,characters,next-token prediction,wikipedia article: LGBTQ literature | top1_prob: 0.391
probosutedjo-s21-11-ctx,Probosutedjo died on 26 March 2018 at the Cipto Mangunkusumo Hospital in Jakarta. Later the same day his body was taken to his home,N/A,village,next-token prediction,wikipedia article: Probosutedjo | top1_prob: 0.410
old-st-mary-s-cemetery-wrought-iron-cross-site-s5-15-ctx,"The National Register database listing for this site does not identify any specific blacksmith whose work is present here. However, there were a number of ""German-Russian blacksmiths in central North Dakota"" who developed individual",N/A,styles,next-token prediction,"wikipedia article: Old St. Mary's Cemetery, Wrought-Iron Cross Site | top1_prob: 0.390"
jason-project-s7-8-ctx,The JASON Foundation for Education was founded in 1990 as a 501(c)(3) non-profit organization to administer the project. The Foundation became a subsidiary of the National,N/A,geographic,next-token prediction,wikipedia article: JASON Project | top1_prob: 0.390
woh-saat-din-s12-8-ctx,"When Maya gains consciousness, she confides in Dr. Anand, saying she did not want to get",N/A,married,next-token prediction,wikipedia article: Woh Saat Din | top1_prob: 0.389
morphology-biology-s20-12-ctx,"In addition, there can be morphological differences within a species, such as in Apoica flavissima where queens are significantly smaller than workers. A further problem with relying on morphological data is that what may",N/A,appear,next-token prediction,wikipedia article: Morphology (biology) | top1_prob: 0.411
religion-in-ancient-rome-s25-14-ctx,"The augurs read the will of the gods and supervised the marking of boundaries as a reflection of universal order, thus sanctioning Roman expansionism and foreign wars as a matter of divine destiny. The Roman triumph was at its core a religious procession in which the victorious",N/A,general,next-token prediction,wikipedia article: Religion in ancient Rome | top1_prob: 0.411
contemporary-classical-music-s6-12-ctx,"In the post-war era, modernist composers sought to achieve greater levels of control in their composition process (e.g., through the use of the twelve-tone technique and later total serialism). At the same time, conversely, composers also experimented with means of abdicating",N/A,control,next-token prediction,wikipedia article: Contemporary classical music | top1_prob: 0.388
history-of-sport-s33-8-ctx,"These games took place every four years, or Olympiad, which became a unit of time in historical chronologies. Initially a single sprinting event, the Olympics gradually",N/A,expanded,next-token prediction,wikipedia article: History of sport | top1_prob: 0.412
sennan-fielding-s10-15-ctx,"Fielding made his British GT debut driving for Steller Performance in an ageing Toyota GT86 GT4 with Tom Canning and Richard Williams, finishing in the points on three occasions and ending the season in 18th with 26 points. In 2019, Fielding drove for Steller Performance for a second year in the British GT",N/A,championship,next-token prediction,wikipedia article: Sennan Fielding | top1_prob: 0.413
richy-ahmed-s5-12-ctx,"His music releases include ""The Drums"", which was named Pete Tong's Essential New Tune and more recently Sneaky Acid EP for Hot Creations' 50th release. Ahmed has joined the roster of artists taking part in the BBC",N/A,radio,next-token prediction,wikipedia article: Richy Ahmed | top1_prob: 0.387
mcquiggin-v-perkins-s45-10-ctx,"Perkins, 569 U.S. 383 (2013) is available from: Cornell CourtListener Google Scholar Internet",N/A,archive,next-token prediction,wikipedia article: McQuiggin v. Perkins | top1_prob: 0.413
thingiverse-s11-8-ctx,"Thingiverse received an Honorable Mention in the Digital Communities category of the 2010 ARS Electronica, Prix Ars Electronica international competition for cyber-arts. As of November 2012, 25,000 designs had been",N/A,uploaded,next-token prediction,wikipedia article: Thingiverse | top1_prob: 0.387
you-talkin-to-me-film-s13-15-ctx,"As Bronson's involvement deepens, he films racist public service announcements despite his friendship with Thatcher. When Archer discovers Thatcher's milk billboard, he sends neo-Nazi associates to assault Thatcher, pouring white",N/A,paint,next-token prediction,wikipedia article: You Talkin' to Me? (film) | top1_prob: 0.387
joran-the-princess-of-snow-and-blood-s35-11-ctx,"On February 9, 2021, the anime original television series was announced in a press conference by Bushiroad. The series was animated by Tatsunoko Production (under their Bakken Record",N/A,label,next-token prediction,wikipedia article: Joran: The Princess of Snow and Blood | top1_prob: 0.386
photovoltaic-system-s1-9-ctx,"A photovoltaic system, also called a PV system or solar power system, is an electric power system designed to supply usable solar power by means of photovoltaics. It consists of an arrangement of several components, including",N/A,solar,next-token prediction,wikipedia article: Photovoltaic system | top1_prob: 0.386
effects-of-climate-change-s48-12-ctx,"The more carbon dioxide (CO2) is emitted in the 21st century the hotter the world will be by 2100. For a doubling of greenhouse gas concentrations, the global mean temperature would",N/A,rise,next-token prediction,wikipedia article: Effects of climate change | top1_prob: 0.386
periods-in-western-art-history-s2-10-ctx,"An art period is a phase in the development of the work of an artist, groups of artists or art movement. Minoan art Aegean art Ancient Greek art Roman art Early",N/A,christian,next-token prediction,wikipedia article: Periods in Western art history | top1_prob: 0.386
garbage-collection-computer-science-s32-13-ctx,"The overall strategy consists of determining which objects should be garbage collected by tracing which objects are reachable by a chain of references from certain root objects, and considering the rest as garbage and collecting them. However, there are a large number of algorithms used in implementation, with widely",N/A,varying,next-token prediction,wikipedia article: Garbage collection (computer science) | top1_prob: 0.414
territorial-evolution-of-the-british-empire-s15-11-ctx,"Many of the former territories of the British Empire are members of the Commonwealth of Nations. Fourteen of these (known, with the United Kingdom, as the 15",N/A,commonwealth,next-token prediction,wikipedia article: Territorial evolution of the British Empire | top1_prob: 0.414
western-roman-empire-s5-12-ctx,"Although there were periods with more than one emperor ruling jointly before, the view that it was impossible for a single emperor to govern the entire Empire was institutionalized by emperor Diocletian following the disastrous civil wars and disintegrations of the Crisis of the Third Century. In 286 he introduced the system of the Tetrarchy, with two senior",N/A,emperors,next-token prediction,wikipedia article: Western Roman Empire | top1_prob: 0.415
spacex-s16-11-ctx,"Around this time, SpaceX began building test prototypes for SpaceX Starship, the largest launch vehicle in history. SpaceX plans to adapt it as a human lander for lunar",N/A,missions,next-token prediction,wikipedia article: SpaceX | top1_prob: 0.385
2008-box-office-entertainment-awards-s3-8-ctx,"The winners are chosen from the Top 10 Philippine films of 2007, top-rating shows in Philippine television, top recording awards received by singers, and top gross receipts of concerts and performances. On May 13, 2008 at RCBC Plaza, Ayala",N/A,avenue,next-token prediction,wikipedia article: 2008 Box Office Entertainment Awards | top1_prob: 0.415
daniel-hoffman-s26-10-ctx,"From 1965 the couple spent summers in Brooksville, Maine. In 2008 Orchises Press brought out a selection of McFarland's",N/A,poems,next-token prediction,wikipedia article: Daniel Hoffman | top1_prob: 0.385
medieval-philosophy-s12-12-ctx,"With the possible exceptions of Avicenna and Averroes, medieval thinkers did not consider themselves philosophers at all: for them, the philosophers were the ancient pagan writers such as Plato and Aristotle. However, their theology used the methods and logical techniques of the ancient",N/A,philosophers,next-token prediction,wikipedia article: Medieval philosophy | top1_prob: 0.415
2019-uefa-european-under-21-championship-qualification-group-6-s5-13-ctx,"Times are CET/CEST, as listed by UEFA (local times, if different, are in parentheses). There were 84 goals scored in 30 matches, for an average of 2.8",N/A,goals,next-token prediction,wikipedia article: 2019 UEFA European Under-21 Championship qualification Group 6 | top1_prob: 0.415
the-world-of-david-the-gnome-s31-11-ctx,"King (voiced by Eduardo Moreno in the original Spanish version, Richard Dumont in the English dub) Paul (voiced by Walter Massey in the English dub) is David's twin brother, who has a normal moustache in contrast to David's handlebar moustache. He also wears differently colored clothing, as he wears a dark",N/A,blue,next-token prediction,wikipedia article: The World of David the Gnome | top1_prob: 0.416
comparison-of-top-chess-players-throughout-history-s32-10-ctx,"CAPS (Computer Aggregated Precision Score) is a system created by Chess.com that compares players from different eras by finding the percentage of moves that matches that of a chess engine. In this system, Magnus Carlsen scored the highest among world",N/A,champions,next-token prediction,wikipedia article: Comparison of top chess players throughout history | top1_prob: 0.416
taxonomy-biology-s10-15-ctx,"There is some disagreement as to whether biological nomenclature is considered a part of taxonomy (definitions 1 and 2), or a part of systematics outside taxonomy. For example, definition 6 is paired with the following definition of systematics that places nomenclature",N/A,outside,next-token prediction,wikipedia article: Taxonomy (biology) | top1_prob: 0.383
justin-moore-basketball-s14-12-ctx,"John's. As a freshman, he averaged 11.3 points, 3.1 rebounds and 1.9 assists",N/A,per,next-token prediction,wikipedia article: Justin Moore (basketball) | top1_prob: 0.383
paramontroseite-s10-8-ctx,"The type locality is Bitter Creek Mine, Paradox Valley, Uravan District, Montrose County, Colorado, USA. In the USA it is found in Montrose",N/A,county,next-token prediction,wikipedia article: Paramontroseite | top1_prob: 0.417
harry-verran-s6-12-ctx,Verran won the South West Nova electoral district for the Liberal party in the 1993 federal election during the Liberals large majority government. He was able to win the district as a Liberal in part,N/A,due,next-token prediction,wikipedia article: Harry Verran | top1_prob: 0.417
itlu-sravani-subramanyam-s1-10-ctx,"Itlu Sravani Subramanyam (transl. Regards, Sravani and Subramanyam) is a 2001 Indian Telugu-language romantic",N/A,drama,next-token prediction,wikipedia article: Itlu Sravani Subramanyam | top1_prob: 0.382
age-of-discovery-s33-15-ctx,"The concept of ""discovery"" has been used to enforce colonial claiming and discovery, but has been challenged by Indigenous peoples and researchers. Many indigenous peoples have fundamentally challenged the concept of colonial claiming of ""discovery"" over their",N/A,lands,next-token prediction,wikipedia article: Age of Discovery | top1_prob: 0.382
french-revolution-of-1848-s7-11-ctx,"Upon Louis XVIII's death, his brother, the Count of Artois, ascended to the throne in 1824, as Charles X. Supported by the ultra-royalists, Charles X was an extremely unpopular reactionary",N/A,monarch,next-token prediction,wikipedia article: French Revolution of 1848 | top1_prob: 0.419
introduction-to-quantum-mechanics-s26-11-ctx,"The lowest frequencies above visible colors are infrared light, which also gives off heat. Continuous wave theories of light and matter cannot explain the black-body",N/A,radiation,next-token prediction,wikipedia article: Introduction to quantum mechanics | top1_prob: 0.381
the-great-western-cotton-factory-s18-11-ctx,"In 1968 the building was demolished, leaving only the remnants of the weaving sheds in the Barton Hill Trading Estate on Cotton Mill Lane. Records of the Great Western Cotton Factory are held at Bristol",N/A,archives,next-token prediction,wikipedia article: The Great Western Cotton Factory | top1_prob: 0.380
sydney-opera-house-s31-9-ctx,"Yallamundi Rooms: A function space hosting up to 400 people, often used for weddings or business conferences. Outdoor Forecourt: A flexible open-air venue with a wide",N/A,range,next-token prediction,wikipedia article: Sydney Opera House | top1_prob: 0.420
mackey-feary-s13-8-ctx,"In late 1973, music manager Ed Guy, who worked with Cecilio & Kapono, was looking to put together a band that could capitalize on the new Hawaiian sound. After scouting and auditions Guy felt the most",N/A,promising,next-token prediction,wikipedia article: Mackey Feary | top1_prob: 0.379
theatre-of-ancient-greece-s9-12-ctx,"The Ancient Greeks valued the power of the spoken word, and it was their main method of communication and storytelling. Bahn and Bahn write, ""To Greeks, the spoken word was a living",N/A,thing,next-token prediction,wikipedia article: Theatre of ancient Greece | top1_prob: 0.379
physics-wallah-s27-9-ctx,"The company has refused to comment on the validity of the claims and in a statement to Business Today called the allegations a ""distraction"". In August 2022, Physics Wallah acquired FreeCo, a doubt-solving",N/A,platform,next-token prediction,wikipedia article: Physics Wallah | top1_prob: 0.379
sexuality-in-ancient-rome-s10-8-ctx,"With extremely few exceptions, surviving Latin literature preserves the voices of educated male Romans on sexuality. Visual art was created by those of lower",N/A,social,next-token prediction,wikipedia article: Sexuality in ancient Rome | top1_prob: 0.379
greg-rothman-s10-10-ctx,"Rothman was chair of the Bush-Cheney 2004 re-election campaign in Cumberland County, Pennsylvania. He was a volunteer aide on the Rick Santorum's 2012",N/A,presidential,next-token prediction,wikipedia article: Greg Rothman | top1_prob: 0.378
opera-experiment-s4-12-ctx,"These particles decay to produce muons and neutrinos. The beam from CERN was stopped on 3 December 2012, ending data",N/A,taking,next-token prediction,wikipedia article: OPERA experiment | top1_prob: 0.422
cultural-anthropology-s1-10-ctx,"Cultural anthropology is a branch of anthropology focused on the study of cultural variation among humans. It is in contrast to social anthropology, which perceives cultural",N/A,variation,next-token prediction,wikipedia article: Cultural anthropology | top1_prob: 0.422
mountain-range-s6-14-ctx,"Individual mountains within the same mountain range do not necessarily have the same geologic structure or petrology. They may be a mix of different orogenic expressions and terranes, for example thrust",N/A,sheets,next-token prediction,wikipedia article: Mountain range | top1_prob: 0.378
music-theory-s10-10-ctx,"In ancient and living cultures around the world, the deep and long roots of music theory are visible in instruments, oral traditions, and current music-making. Many cultures have also considered music theory in more formal",N/A,ways,next-token prediction,wikipedia article: Music theory | top1_prob: 0.423
philosophy-of-language-s5-15-ctx,"These writers were followed by Ludwig Wittgenstein (Tractatus Logico-Philosophicus), the Vienna Circle, logical positivists, and Willard Van Orman Quine. In the West, inquiry into language stretches back to the 5th century BC with philosophers",N/A,such,next-token prediction,wikipedia article: Philosophy of language | top1_prob: 0.424
the-voice-russian-tv-series-season-3-s2-14-ctx,"Dmitry Nagiev returned as the show's presenter for his third seasons. Dima Bilan, Pelageya, Alexander Gradsky, and Leonid Agutin returned as the coach's for their",N/A,third,next-token prediction,wikipedia article: The Voice (Russian TV series) season 3 | top1_prob: 0.376
loto-tonga-soka-centre-s7-10-ctx,The original facility was demolished and the land was redeveloped for the construction of the new Loto-Tonga Soka Centre. Plans for a new 700-seat association football stadium to be,N/A,built,next-token prediction,wikipedia article: Loto-Tonga Soka Centre | top1_prob: 0.424
history-of-the-middle-east-s30-13-ctx,"The earliest human migrations out of Africa occurred through the Middle East, namely over the Levantine corridor, with the pre-modern Homo erectus about 1.8 million years BP. One of the potential routes for early human migrations toward southern and eastern",N/A,asia,next-token prediction,wikipedia article: History of the Middle East | top1_prob: 0.424
psychology-s31-15-ctx,"Folk psychology is the understanding of the mental states and behaviors of people held by ordinary people, as contrasted with psychology professionals' understanding. The ancient civilizations of Egypt, Greece, China, India, and Persia all engaged in the philosophical",N/A,study,next-token prediction,wikipedia article: Psychology | top1_prob: 0.425
big-band-s8-10-ctx,"The division in early big bands, from the 1920s to 1930s, was typically two or three trumpets, one or two trombones, three or four saxophones, and a rhythm section of four instruments. In the 1940s, Stan Kenton's band used up to five",N/A,trumpets,next-token prediction,wikipedia article: Big band | top1_prob: 0.375
discrete-mathematics-s3-11-ctx,"By contrast, discrete mathematics excludes topics in ""continuous mathematics"" such as real numbers, calculus or Euclidean geometry. Discrete objects can often be enumerated by integers; more formally, discrete",N/A,mathematics,next-token prediction,wikipedia article: Discrete mathematics | top1_prob: 0.425
cinema-of-india-s1-13-ctx,"The cinema of India, consisting of motion pictures made by the Indian film industry, has had a large effect on world cinema since the second half of the 20th century. Indian cinema is made up of various film industries, each focused on producing",N/A,films,next-token prediction,wikipedia article: Cinema of India | top1_prob: 0.425
introduction-to-quantum-mechanics-s27-15-ctx,"Continuous wave theories of light and matter cannot explain the black-body radiation curve. Planck spread the heat energy among individual ""oscillators"" of an undefined character but with discrete",N/A,energy,next-token prediction,wikipedia article: Introduction to quantum mechanics | top1_prob: 0.425
downtown-rowlett-station-s11-8-ctx,"On March 25, 2011, DART held a groundbreaking for the extension. Testing began in April 2012, and the completed",N/A,extension,next-token prediction,wikipedia article: Downtown Rowlett station | top1_prob: 0.374
garbage-collection-computer-science-s24-12-ctx,A peer-reviewed paper from 2005 concluded that GC needs five times the memory to compensate for this overhead and to perform as fast as the same program using idealized explicit memory management. The comparison however is made to a program generated by inserting deallocation,N/A,calls,next-token prediction,wikipedia article: Garbage collection (computer science) | top1_prob: 0.426
opera-s1-9-ctx,"Opera is a form of Western theatre in which music is a fundamental component and dramatic roles are taken by singers. Such a ""work"" (the literal translation of the Italian",N/A,word,next-token prediction,wikipedia article: Opera | top1_prob: 0.373
history-of-computer-science-s1-10-ctx,"The history of computer science began long before the modern discipline of computer science, usually appearing in forms like mathematics or physics. Developments in previous centuries alluded to the discipline that we",N/A,now,next-token prediction,wikipedia article: History of computer science | top1_prob: 0.373
introduction-to-quantum-mechanics-s42-8-ctx,"Ten years elapsed before Millikan's definitive experiment verified Einstein's prediction. During that time, many scientists rejected the revolutionary",N/A,idea,next-token prediction,wikipedia article: Introduction to quantum mechanics | top1_prob: 0.427
island-nation-s2-12-ctx,"The season 1 covered the history from 1990 to 1994. The series will include 80 episodes over 8 seasons, with the first",N/A,season,next-token prediction,wikipedia article: Island Nation | top1_prob: 0.372
john-barrett-actor-s2-11-ctx,"Born in Rochdale in 1910, Barrett worked in a family business there, and in the 1930s began working in the theatre. He started as an assistant stage manager, and at different times",N/A,worked,next-token prediction,wikipedia article: John Barrett (actor) | top1_prob: 0.372
literature-s31-13-ctx,"The early Buddhist texts are also generally believed to be of oral tradition, with the first by comparing inconsistencies in the transmitted versions of literature from various oral societies such as the Greek, Serbia and other cultures, then noting that the Vedic literature is too consistent and vast to have been composed and transmitted orally across generations, without being written down. According to Goody, the Vedic texts likely involved both a written and oral",N/A,tradition,next-token prediction,wikipedia article: Literature | top1_prob: 0.428
greg-rothman-s19-13-ctx,"In 2019, Rothman sponsored legislation to shorten the time period for evictions in Pennsylvania. The bill was supported by landlords' organizations and opposed by tenant and low-income",N/A,housing,next-token prediction,wikipedia article: Greg Rothman | top1_prob: 0.429
rural-municipality-of-mount-pleasant-no-2-s10-13-ctx,"Localities Elmore In the 2021 Census of Population conducted by Statistics Canada, the RM of Mount Pleasant No. 2 had a population of 419 living in 152 of its 182 total",N/A,private,next-token prediction,wikipedia article: Rural Municipality of Mount Pleasant No. 2 | top1_prob: 0.371
richy-ahmed-s4-11-ctx,"His music has influences from disco, techno, funk, electro and hip hop. His music releases include ""The Drums"", which was named Pete Tong's",N/A,essential,next-token prediction,wikipedia article: Richy Ahmed | top1_prob: 0.371
big-radio-3-s1-12-ctx,"Big Radio 3 is a Bosnian local commercial radio station, broadcasting from Banja Luka, Bosnia and Herzegovina. This radio station broadcasts a variety of programs such as foreign pop",N/A,music,next-token prediction,wikipedia article: Big Radio 3 | top1_prob: 0.429
andrew-tiedemann-s6-14-ctx,"Tiedemann had previously represented Canada at the U-17, U-19, and U-20 levels before making his debut with the senior men's squad. At the 2008 IRB Junior World Championship Tiedemann started in four of the five",N/A,matches,next-token prediction,wikipedia article: Andrew Tiedemann | top1_prob: 0.429
effects-of-climate-change-on-small-island-countries-s35-11-ctx,"Once the limited available soil on these islands becomes salinated, it becomes very difficult to produce subsistence crops such as breadfruit. This would severely impact the agricultural and commercial sector in nations",N/A,such,next-token prediction,wikipedia article: Effects of climate change on small island countries | top1_prob: 0.430
918th-air-refueling-squadron-s4-8-ctx,"Although most of the squadron remained in the United States during the war, part of its air echelon deployed to the Pacific where it performed photographic mapping missions until the unit was inactivated in 1944. The squadron was allotted to the Air Force",N/A,reserve,next-token prediction,wikipedia article: 918th Air Refueling Squadron | top1_prob: 0.370
italian-baroque-art-s21-13-ctx,Its exuberance and colour was picked up on by later Baroque painters while the classicising aspects of its design (disegno) influenced painters who followed the more classical cannon. Other influential painters during this early period who influenced the development of Baroque,N/A,painting,next-token prediction,wikipedia article: Italian Baroque art | top1_prob: 0.370
charles-s-kilburn-s18-15-ctx,"A. Russell, Wyoming, and, from February to September 1918, Kilburn was assigned to the 8th Cavalry",N/A,regiment,next-token prediction,wikipedia article: Charles S. Kilburn | top1_prob: 0.431
jazz-rap-s29-10-ctx,"Groups making up the collective known as the Native Tongues tended toward jazzy releases: these include the Jungle Brothers' debut, Straight Out the Jungle (Warlock, 1988), and A Tribe Called Quest's People's Instinctive Travels and the Paths of Rhythm (Jive, 1990). The Low End Theory has become one of hip hop's",N/A,most,next-token prediction,wikipedia article: Jazz rap | top1_prob: 0.431
