slug,prompt,intermediate_concept,correct_answer,hop_type,notes
omaha-capital,The capital of the state containing Omaha is,Nebraska,Lincoln,city→state→capital,
las-vegas-capital,The capital of the state containing Las Vegas is,Nevada,Carson City,city→state→capital,
nashua-capital,The capital of the state containing Nashua is,New Hampshire,Concord,city→state→capital,
atlantic-city-capital,The capital of the state containing Atlantic City is,New Jersey,Trenton,city→state→capital,
albuquerque-capital,The capital of the state containing Albuquerque is,New Mexico,Santa Fe,city→state→capital,
niagara-falls-capital,The capital of the state containing Niagara Falls is,New York,Albany,city→state→capital,
charlotte-capital,The capital of the state containing Charlotte is,North Carolina,Raleigh,city→state→capital,
fargo-capital,The capital of the state containing Fargo is,North Dakota,Bismarck,city→state→capital,
cleveland-capital,The capital of the state containing Cleveland is,Ohio,Columbus,city→state→capital,
tulsa-capital,The capital of the state containing Tulsa is,Oklahoma,Oklahoma City,city→state→capital,
portland-or-capital,The capital of the state containing Portland is,Oregon,Salem,city→state→capital,Potentially ambiguous with Portland ME — model should default to OR
philadelphia-capital,The capital of the state containing Philadelphia is,Pennsylvania,Harrisburg,city→state→capital,
newport-capital,The capital of the state containing Newport is,Rhode Island,Providence,city→state→capital,
myrtle-beach-capital,The capital of the state containing Myrtle Beach is,South Carolina,Columbia,city→state→capital,
mount-rushmore-capital,The capital of the state containing Mount Rushmore is,South Dakota,Pierre,landmark→state→capital,
memphis-capital,The capital of the state containing Memphis is,Tennessee,Nashville,city→state→capital,
dallas-capital,The capital of the state containing Dallas is,Texas,Austin,city→state→capital,
provo-capital,The capital of the state containing Provo is,Utah,Salt Lake City,city→state→capital,
burlington-vt-capital,The capital of the state containing Burlington is,Vermont,Montpelier,city→state→capital,
virginia-beach-capital,The capital of the state containing Virginia Beach is,Virginia,Richmond,city→state→capital,
seattle-capital,The capital of the state containing Seattle is,Washington,Olympia,city→state→capital,
morgantown-capital,The capital of the state containing Morgantown is,West Virginia,Charleston,city→state→capital,
milwaukee-capital,The capital of the state containing Milwaukee is,Wisconsin,Madison,city→state→capital,
casper-capital,The capital of the state containing Casper is,Wyoming,Cheyenne,city→state→capital,
toronto-capital,The capital of the country containing Toronto is,Canada,Ottawa,city-country-capital,
vancouver-capital,The capital of the country containing Vancouver is,Canada,Ottawa,city-country-capital,
montreal-capital,The capital of the country containing Montreal is,Canada,Ottawa,city-country-capital,
guadalajara-capital,The capital of the country containing Guadalajara is,Mexico,Mexico City,city-country-capital,
cancun-capital,The capital of the country containing Cancun is,Mexico,Mexico City,city-country-capital,
rio-de-janeiro-capital,The capital of the country containing Rio de Janeiro is,Brazil,Brasilia,city-country-capital,
sao-paulo-capital,The capital of the country containing Sao Paulo is,Brazil,Brasilia,city-country-capital,
medellin-capital,The capital of the country containing Medellin is,Colombia,Bogota,city-country-capital,
cusco-capital,The capital of the country containing Cusco is,Peru,Lima,city-country-capital,
manchester-capital,The capital of the country containing Manchester is,United Kingdom,London,city-country-capital,
liverpool-capital,The capital of the country containing Liverpool is,United Kingdom,London,city-country-capital,
edinburgh-capital,The capital of the country containing Edinburgh is,United Kingdom,London,city-country-capital,
glasgow-capital,The capital of the country containing Glasgow is,United Kingdom,London,city-country-capital,
cork-capital,The capital of the country containing Cork is,Ireland,Dublin,city-country-capital,
marseille-capital,The capital of the country containing Marseille is,France,Paris,city-country-capital,
lyon-capital,The capital of the country containing Lyon is,France,Paris,city-country-capital,
bordeaux-capital,The capital of the country containing Bordeaux is,France,Paris,city-country-capital,
munich-capital,The capital of the country containing Munich is,Germany,Berlin,city-country-capital,
hamburg-capital,The capital of the country containing Hamburg is,Germany,Berlin,city-country-capital,
frankfurt-capital,The capital of the country containing Frankfurt is,Germany,Berlin,city-country-capital,
milan-capital,The capital of the country containing Milan is,Italy,Rome,city-country-capital,
venice-capital,The capital of the country containing Venice is,Italy,Rome,city-country-capital,
florence-capital,The capital of the country containing Florence is,Italy,Rome,city-country-capital,
naples-capital,The capital of the country containing Naples is,Italy,Rome,city-country-capital,
barcelona-capital,The capital of the country containing Barcelona is,Spain,Madrid,city-country-capital,
seville-capital,The capital of the country containing Seville is,Spain,Madrid,city-country-capital,
valencia-capital,The capital of the country containing Valencia is,Spain,Madrid,city-country-capital,
porto-capital,The capital of the country containing Porto is,Portugal,Lisbon,city-country-capital,
rotterdam-capital,The capital of the country containing Rotterdam is,Netherlands,Amsterdam,city-country-capital,
antwerp-capital,The capital of the country containing Antwerp is,Belgium,Brussels,city-country-capital,
salzburg-capital,The capital of the country containing Salzburg is,Austria,Vienna,city-country-capital,
gothenburg-capital,The capital of the country containing Gothenburg is,Sweden,Stockholm,city-country-capital,
bergen-capital,The capital of the country containing Bergen is,Norway,Oslo,city-country-capital,
krakow-capital,The capital of the country containing Krakow is,Poland,Warsaw,city-country-capital,
thessaloniki-capital,The capital of the country containing Thessaloniki is,Greece,Athens,city-country-capital,
st-petersburg-capital,The capital of the country containing St. Petersburg is,Russia,Moscow,city-country-capital,
istanbul-capital,The capital of the country containing Istanbul is,Turkey,Ankara,city-country-capital,
shanghai-capital,The capital of the country containing Shanghai is,China,Beijing,city-country-capital,
osaka-capital,The capital of the country containing Osaka is,Japan,Tokyo,city-country-capital,
kyoto-capital,The capital of the country containing Kyoto is,Japan,Tokyo,city-country-capital,
busan-capital,The capital of the country containing Busan is,South Korea,Seoul,city-country-capital,
mumbai-capital,The capital of the country containing Mumbai is,India,New Delhi,city-country-capital,
bangalore-capital,The capital of the country containing Bangalore is,India,New Delhi,city-country-capital,
karachi-capital,The capital of the country containing Karachi is,Pakistan,Islamabad,city-country-capital,
phuket-capital,The capital of the country containing Phuket is,Thailand,Bangkok,city-country-capital,
ho-chi-minh-capital,The capital of the country containing Ho Chi Minh City is,Vietnam,Hanoi,city-country-capital,
dubai-capital,The capital of the country containing Dubai is,United Arab Emirates,Abu Dhabi,city-country-capital,
alexandria-capital,The capital of the country containing Alexandria is,Egypt,Cairo,city-country-capital,
sydney-capital,The capital of the country containing Sydney is,Australia,Canberra,city-country-capital,
melbourne-capital,The capital of the country containing Melbourne is,Australia,Canberra,city-country-capital,
