slug,prompt,intermediate_concept,correct_answer,hop_type,notes
formation-and-evolution-of-the-solar-system-s24-8,"The most significant criticism of the hypothesis was its apparent inability to explain the Sun's relative lack of angular momentum when compared to the planets. However, since the early 1980s studies of young",N/A,stars,next-token prediction,wikipedia article: Formation and evolution of the Solar System | top1_prob: 0.425
henry-blanco-s35-14,"After the 2008 season, Blanco's option was declined making him a free agent. In January 2009, he signed a $750,000, one-year contract to play for the San",N/A,diego,next-token prediction,wikipedia article: Henry Blanco | top1_prob: 0.426
united-nations-framework-convention-on-climate-change-s48-12,"Under Article 4, all Parties make general commitments to address climate change through, for example, climate change mitigation and adapting to the eventual impacts of climate change. Article 4(7) states: The extent to which developing country Parties will effectively",N/A,implement,next-token prediction,wikipedia article: United Nations Framework Convention on Climate Change | top1_prob: 0.374
united-nations-framework-convention-on-climate-change-s20-11,"By 2022, the UNFCCC had 198 parties. Its supreme decision-making body, the Conference of the Parties (COP), meets",N/A,every,next-token prediction,wikipedia article: United Nations Framework Convention on Climate Change | top1_prob: 0.427
ameli-neureuther-s8-10,"From 1999 to 2001, Neureuther studied at the Cambridge School of Arts as part of an ""Art Foundation Year"". From 2001, she continued her training at the international fashion",N/A,school,next-token prediction,wikipedia article: Ameli Neureuther | top1_prob: 0.373
fabian-de-keijzer-s1-9,Fabian de Keijzer (born 10 May 2000) is a Dutch professional footballer who plays as a goalkeeper for Eredivisie club Heracles Almelo. He made his Eerste Divisie debut for Jong FC,N/A,utrecht,next-token prediction,wikipedia article: Fabian de Keijzer | top1_prob: 0.373
photovoltaic-system-s37-11,"Net metering and financial incentives, such as preferential feed-in tariffs for solar-generated electricity, have also greatly supported installations of PV systems in many countries. The levelised cost of electricity from large-scale PV systems has become",N/A,competitive,next-token prediction,wikipedia article: Photovoltaic system | top1_prob: 0.372
chemistry-band-s3-10,"Their first single ""Pieces of a Dream"" was released on March 3, 2001, and was the best selling single that year (over 2 million). Most of their singles have reached #1 on the Oricon",N/A,charts,next-token prediction,wikipedia article: Chemistry (band) | top1_prob: 0.372
desert-s12-13,"The grains end up as level sheets of sand or are piled high in billowing dunes. Other deserts are flat, stony plains where all the fine material has been",N/A,blown,next-token prediction,wikipedia article: Desert | top1_prob: 0.371
variety-linguistics-s7-13,"O'Grady et al. define dialect: ""A regional or social variety of a language characterized by its",N/A,own,next-token prediction,wikipedia article: Variety (linguistics) | top1_prob: 0.371
ancient-greece-s28-13,"Most were either Athenian or pro-Athenian, which is why far more is known about the history and politics of Athens than of many other cities. Their scope is further limited by a focus on political, military and diplomatic",N/A,history,next-token prediction,wikipedia article: Ancient Greece | top1_prob: 0.371
formation-and-evolution-of-the-solar-system-s24-10,"The most significant criticism of the hypothesis was its apparent inability to explain the Sun's relative lack of angular momentum when compared to the planets. However, since the early 1980s studies of young stars have",N/A,shown,next-token prediction,wikipedia article: Formation and evolution of the Solar System | top1_prob: 0.369
operation-spider-iran-s6-9,"On January 31, a statement by the Center for Investigation of Organized Cyber Crimes was published that stated several Facebook users had been arrested in a surveillance project by the IRGC named ""Operation Spider"" that is aimed at identifying and rooting out Facebook pages and activities that spread ""corruption"" and western-inspired lifestyles. The statement also says they ""received indirect and covert",N/A,support,next-token prediction,wikipedia article: Operation Spider (Iran) | top1_prob: 0.432
cultural-anthropology-s32-14,"Analyses of large human concentrations in big cities, in multidisciplinary studies by Ronald Daus, show how new methods may be applied to understanding man living in a global world and how this was caused by the actions of extra-European nations, thereby highlighting the role of Ethics in modern anthropology. Accordingly, most of these anthropologists showed less interest in comparing cultures, generalizing about human",N/A,nature,next-token prediction,wikipedia article: Cultural anthropology | top1_prob: 0.434
big-band-s33-9,"Typical big band arrangements from the swing era were written in strophic form with the same phrase and chord structure repeated several times. Each iteration, or chorus, commonly follows twelve bar blues",N/A,form,next-token prediction,wikipedia article: Big band | top1_prob: 0.434
history-of-philosophy-s14-9,"After the Islamic Golden Age, the influence of philosophical inquiry waned, partly due to Al-Ghazali's critique of philosophy. In the 17th century, Mulla Sadra developed a metaphysical",N/A,system,next-token prediction,wikipedia article: History of philosophy | top1_prob: 0.366
endogeny-biology-s1-11,"Endogeny, in biology, refers to the property of originating or developing from within an organism, tissue, or cell. For example, endogenous substances, and endogenous processes are those that originate",N/A,within,next-token prediction,wikipedia article: Endogeny (biology) | top1_prob: 0.366
joker-arroyo-s34-11,"One Aquino decision, the release of Communist leader Jose Maria Sison, sparked the September 1987 coup attempt initiated by rebel military leaders. Due to intense pressure from the Philippine Congress in the following",N/A,months,next-token prediction,wikipedia article: Joker Arroyo | top1_prob: 0.365
exoplanet-s4-8,"In 2016, it was recognized that the first possible evidence of an exoplanet had been noted in 1917. As of 23 April 2026, there are 6,273",N/A,confirmed,next-token prediction,wikipedia article: Exoplanet | top1_prob: 0.436
bsc-swot-s29-12,"K. Lo, e-Enterprise and management course development using strategy formulation framework for vocational",N/A,education,next-token prediction,wikipedia article: BSC SWOT | top1_prob: 0.437
laughing-at-danger-1924-film-s3-8,"Girard, and Eva Novak. As described in a review in a film",N/A,magazine,next-token prediction,wikipedia article: Laughing at Danger (1924 film) | top1_prob: 0.362
ian-macara-s3-15,McGavock Chair at Vanderbilt University. He received his PhD from the University of Sheffield in the United Kingdom and completed,N/A,postdoctoral,next-token prediction,wikipedia article: Ian Macara | top1_prob: 0.361
jolijn-van-valkengoed-s3-9,At the age of 24 she made her international debut at the European Championships 2006 in Budapest. At the 2008 European Aquatics Championships in Eindhoven she,N/A,won,next-token prediction,wikipedia article: Jolijn van Valkengoed | top1_prob: 0.441
laughing-at-danger-1924-film-s4-9,"As described in a review in a film magazine, a love affair makes Alan Remington (Talmadge) dissatisfied with life. Trying to lift his son out of despondency, his",N/A,father,next-token prediction,wikipedia article: Laughing at Danger (1924 film) | top1_prob: 0.358
taxonomy-biology-s5-14,"The Swedish botanist Carl Linnaeus is regarded as the founder of the current system of taxonomy, having developed a ranked system known as Linnaean taxonomy for categorizing organisms. With advances in the theory, data and analytical technology of biological systematics, the Linnaean",N/A,system,next-token prediction,wikipedia article: Taxonomy (biology) | top1_prob: 0.443
pressin-on-s1-13,"Pressin' On is a studio album by the American musician Billy Preston, released in 1982. It was his final album released on Motown Records, although he would briefly",N/A,return,next-token prediction,wikipedia article: Pressin' On | top1_prob: 0.443
exoplanet-s21-8,Rogue planets are those that are not in planetary systems. Such objects are generally considered in a separate,N/A,category,next-token prediction,wikipedia article: Exoplanet | top1_prob: 0.444
plastech-engineered-products-s11-9,"General Motors, Ford, and Johnson Controls all publicly supported Chrysler's position against Plastech. The firm was later liquidated, with major assets being",N/A,sold,next-token prediction,wikipedia article: Plastech Engineered Products | top1_prob: 0.356
patiriella-s1-9,Patiriella is a genus of sea stars of the family Asterinidae. Many species formerly included in this genus have been,N/A,transferred,next-token prediction,wikipedia article: Patiriella | top1_prob: 0.356
united-nations-framework-convention-on-climate-change-s4-14,"The Convention established the principle of ""common but differentiated responsibilities,"" which asserts that all countries share responsibility for addressing climate change. However, developed countries are expected to assume a leading role because of their greater",N/A,historical,next-token prediction,wikipedia article: United Nations Framework Convention on Climate Change | top1_prob: 0.444
cultural-anthropology-s30-13,But these ethnographers also pointed out the superficiality of many such similarities. They noted that even traits that spread through diffusion often were given different,N/A,meanings,next-token prediction,wikipedia article: Cultural anthropology | top1_prob: 0.444
theoretical-computer-science-s9-9,"Information theory was added to the field with a 1948 mathematical theory of communication by Claude Shannon. In the same decade, Donald Hebb introduced a mathematical",N/A,model,next-token prediction,wikipedia article: Theoretical computer science | top1_prob: 0.349
national-museum-of-egyptian-civilization-s22-11,"In late 2017, Zahi Hawass reported that Francis Ricciardone, the president of the American University in Cairo, donated 5,000 of its artifacts to the National Museum of Egyptian Civilization. The museum hosted the final draw of the 2021 World Men's",N/A,handball,next-token prediction,wikipedia article: National Museum of Egyptian Civilization | top1_prob: 0.348
industrial-revolution-s7-10,"By the mid-18th century, Britain was the leading commercial nation, with GDP per capita considerably over the world average. The textile industry was the first to use modern production",N/A,methods,next-token prediction,wikipedia article: Industrial Revolution | top1_prob: 0.453
biology-s33-12,"However, the significance of his work was not realized until the early 20th century when evolution became a unified theory as the modern synthesis reconciled Darwinian evolution with classical genetics. In the 1940s and early 1950s, a series of experiments by Alfred",N/A,hershey,next-token prediction,wikipedia article: Biology | top1_prob: 0.453
jazz-s7-15,"However, jazz did not begin as a single musical tradition in New Orleans or elsewhere. In the 1930s, arranged dance-oriented swing big bands, Kansas City jazz (a hard-swinging, bluesy, improvisational",N/A,style,next-token prediction,wikipedia article: Jazz | top1_prob: 0.454
photovoltaic-system-s8-15,"Operating silently and without any moving parts or air pollution, PV systems have evolved from niche market applications into a mature technology used for mainstream electricity generation. Due to the growth of photovoltaics, prices for PV systems have rapidly declined since their",N/A,introduction,next-token prediction,wikipedia article: Photovoltaic system | top1_prob: 0.344
photovoltaic-system-s5-8,"A solar array only encompasses the solar panels, the visible part of the PV system, and does not include all the other hardware, often summarized as the balance of system (BOS). PV systems range from small, rooftop-mounted or building-integrated",N/A,systems,next-token prediction,wikipedia article: Photovoltaic system | top1_prob: 0.342
language-family-s25-8,There is a remarkably similar pattern shown by the linguistic tree and the genetic tree of human ancestry that was verified statistically. Languages interpreted in terms of the putative phylogenetic,N/A,tree,next-token prediction,wikipedia article: Language family | top1_prob: 0.341
big-band-s22-15,"The fourth trombone part is generally played by a bass trombone. In some pieces the trumpets may double on flugelhorn or cornet, and saxophone players frequently",N/A,double,next-token prediction,wikipedia article: Big band | top1_prob: 0.341
megapalaeolenus-s1-9,"Megapalaeolenus is an extinct genus from a well-known class of fossil marine arthropods, the trilobites. They lived during the later part of the Botomian",N/A,stage,next-token prediction,wikipedia article: Megapalaeolenus | top1_prob: 0.340
ameli-neureuther-s12-8,"For the Alpine Ski World Championships 2011 in Garmisch-Partenkirchen, Neureuther designed the mascots Ga and Pa, two figures in the shape of a snowball. In the meantime, she works as a freelance",N/A,designer,next-token prediction,wikipedia article: Ameli Neureuther | top1_prob: 0.339
alfred-pupunu-s14-10,"On February 24, 2010, Pupunu was named assistant coach at the University of Idaho. Pupunu then starting coaching the tight ends at Weber State",N/A,university,next-token prediction,wikipedia article: Alfred Pupunu | top1_prob: 0.463
ancient-greece-s27-10,"Herodotus was succeeded by authors such as Thucydides, Xenophon, Demosthenes, Plato and Aristotle. Most were either Athenian or pro-Athenian, which is why far",N/A,more,next-token prediction,wikipedia article: Ancient Greece | top1_prob: 0.464
second-industrial-revolution-s30-8,"The Cowper stove was also capable of producing high heat, which resulted in very high throughput of blast furnaces. The Cowper stove is still used in today's",N/A,blast,next-token prediction,wikipedia article: Second Industrial Revolution | top1_prob: 0.465
ancient-greek-religion-s23-10,"At times, certain gods would be opposed to others, and they would try to outdo each other. In the Iliad, Aphrodite, Ares, and Apollo support the Trojan",N/A,side,next-token prediction,wikipedia article: Ancient Greek religion | top1_prob: 0.334
united-nations-security-council-resolution-2003-s7-11,"There was also concern about renewed hostilities between the Sudanese government and the Sudan Liberation Movement/Army's (SLM/A), Minni Minnawi and Abdul Wahid factions, and the Justice and Equality Movement. The preamble of the resolution reaffirmed that there could be no",N/A,military,next-token prediction,wikipedia article: United Nations Security Council Resolution 2003 | top1_prob: 0.333
stokesdale-historic-district-s1-8,"Stokesdale Historic District is a national historic district located at Durham, Durham County, North Carolina. The district encompasses 227 contributing buildings, 1 contributing",N/A,site,next-token prediction,wikipedia article: Stokesdale Historic District | top1_prob: 0.468
actinidia-melanandra-s1-11,"Actinidia melanandra, known as purple kiwi or red kiwi is a fruiting plant in the genus Actinidia, which contains three commercially grown species of kiwifruit. The plant is native to parts of Hubei, Sichuan, and Yunnan",N/A,provinces,next-token prediction,wikipedia article: Actinidia melanandra | top1_prob: 0.468
solar-system-s30-9,"When not used as a proper noun and written without capitalization, ""solar system"" may refer to either the Solar System itself or any planetary system reminiscent of the Solar System. The International Astronomical Union, the authoritative body regarding astronomical",N/A,nomenclature,next-token prediction,wikipedia article: Solar System | top1_prob: 0.470
cynicism-philosophy-s33-10,"Thus a Cynic has no property and rejects all conventional values of money, fame, power and reputation. A life lived according to nature requires only the bare",N/A,necessities,next-token prediction,wikipedia article: Cynicism (philosophy) | top1_prob: 0.330
scholasticism-s4-8,"Scholasticism emerged within the monastic schools that translated medieval Judeo-Islamic philosophies, and ""rediscovered"" the collected works of Aristotle. Endeavoring to harmonize Aristotle's metaphysics and Latin Catholic",N/A,theology,next-token prediction,wikipedia article: Scholasticism | top1_prob: 0.473
seothyra-longipedata-s3-9,"Seothyra longipedata occurs in two countries: Namibia and South Africa. In South Africa, the species is recorded from two",N/A,provinces,next-token prediction,wikipedia article: Seothyra longipedata | top1_prob: 0.473
climate-change-s5-13,"These gases absorb some of the heat that the Earth radiates after it warms from sunlight, warming the lower atmosphere. Earth's atmosphere now has roughly 50% more carbon dioxide, the main gas driving",N/A,global,next-token prediction,wikipedia article: Climate change | top1_prob: 0.327
list-of-egyptian-deities-s3-15,"Many Egyptian texts mention deities' names without indicating their character or role, while other texts refer to specific deities without even stating their name, so a complete list of them is difficult to assemble. This list does not include any Pharaohs who were usually deified, some within their own",N/A,lifetime,next-token prediction,wikipedia article: List of Egyptian deities | top1_prob: 0.473
exoplanet-s26-10,"An exoplanet was defined by the following criteria: Objects with true masses below the limiting mass for thermonuclear fusion of deuterium (currently calculated to be 13 Jupiter masses for objects of solar metallicity) that orbit stars or stellar remnants are ""planets"" (no matter how they formed). The minimum mass/size required for an extrasolar object to be",N/A,considered,next-token prediction,wikipedia article: Exoplanet | top1_prob: 0.327
bojophlebia-s12-8,"Rudolf Prokop, a friend of the author. The below phylogeny is based on the phylogenetic",N/A,analysis,next-token prediction,wikipedia article: Bojophlebia | top1_prob: 0.326
united-nations-security-council-resolution-2003-s15-11,"Meanwhile, the resolution called for co-operation between UNAMID and other peacekeeping operations in the region, including the United Nations Mission in the Republic of South Sudan and the United Nations Interim Security Force for Abyei. International response to the War in Darfur List of United Nations",N/A,security,next-token prediction,wikipedia article: United Nations Security Council Resolution 2003 | top1_prob: 0.324
plastech-engineered-products-s4-14,"The company subsequently grew rapidly through a mixture of organic growth and acquisitions, the most notable of the latter being the purchase of United Screw and Bolt in 1997 and LDM Technologies in 2004. In 2007 Plastech took over four plants and sales of US$700 million from Johnson",N/A,controls,next-token prediction,wikipedia article: Plastech Engineered Products | top1_prob: 0.324
birgit-meineke-s6-12,"Meineke was unable to compete in the Olympics due to the boycott of the 1984 Los Angeles Olympics by 14 Eastern Bloc countries, including East Germany. However, she won several medals at the Friendship Games, including two gold",N/A,medals,next-token prediction,wikipedia article: Birgit Meineke | top1_prob: 0.478
jolijn-van-valkengoed-s1-12,"Jolijn van Valkengoed (born August 26, 1981, in Lelystad) is a Dutch swimmer, who mainly specializes in breaststroke. She is currently training in her hometown Lelystad together with her younger",N/A,brother,next-token prediction,wikipedia article: Jolijn van Valkengoed | top1_prob: 0.478
biological-anthropology-s5-11,Bioarchaeology is the study of past human cultures through examination of human remains recovered in an archaeological context. The examined human remains are usually limited to bones but may,N/A,include,next-token prediction,wikipedia article: Biological anthropology | top1_prob: 0.478
henry-blanco-s30-11,"In the 2006 Caribbean Series, Blanco had a walk off double off the top of the opposing shortstop's head in the championship game to give the Leones del Caracas the series championship win over the Tigres del Licey. In the 2006 major league season, he hit for a .266",N/A,batting,next-token prediction,wikipedia article: Henry Blanco | top1_prob: 0.479
exoplanet-s36-11,"Brown dwarfs form like stars from the direct gravitational collapse of clouds of gas, and this formation mechanism also produces objects that are below the 13 MJup limit and can be as low as 1 MJup. Objects in this mass range that orbit their stars with wide",N/A,separations,next-token prediction,wikipedia article: Exoplanet | top1_prob: 0.320
industrial-revolution-s24-10,"Economic historians such as Mendels, Pomeranz, and Kridte argue proto-industrialisation in parts of Europe, the Islamic world, Mughal India, and China created the social and economic conditions that led to the Industrial Revolution, thus causing the Great Divergence. Some historians, such as John Clapham and Nicholas Crafts, have",N/A,argued,next-token prediction,wikipedia article: Industrial Revolution | top1_prob: 0.319
bojophlebia-s8-12,"A fossil that was described as a nymph of Bojophlebia is now considered to be a separate taxon, Carbotriplura kukalovae. The original description interpreted structures such as eyes and antennae, however these",N/A,structures,next-token prediction,wikipedia article: Bojophlebia | top1_prob: 0.317
george-mills-novel-s20-11,"Elkin worked for over seven years writing George Mills and by the end of its completion, he felt exhausted and insisted this would be his last fictional work. But after watching a British news report of how terminally ill",N/A,children,next-token prediction,wikipedia article: George Mills (novel) | top1_prob: 0.316
plastech-engineered-products-s6-13,"Plastech's customers included General Motors, Ford Motor Company, Chrysler, and Johnson Controls. Following a disagreement with Chrysler, Plastech Engineered Products filed for Chapter 11 bankruptcy",N/A,protection,next-token prediction,wikipedia article: Plastech Engineered Products | top1_prob: 0.485
lotus-subbiflorus-s3-12,"Its native distribution is in southern and western Europe and North Africa. It occurs as a scarce plant in south-west England, southern Wales, southern",N/A,ireland,next-token prediction,wikipedia article: Lotus subbiflorus | top1_prob: 0.487
medieval-philosophy-s1-9,"Medieval philosophy is the philosophy that existed through the Middle Ages, the period roughly extending from the fall of the Western Roman Empire in the 5th century until after the Renaissance in the 13th and 14th centuries. Medieval philosophy, understood as a project of independent philosophical",N/A,inquiry,next-token prediction,wikipedia article: Medieval philosophy | top1_prob: 0.312
photovoltaic-system-s38-10,"The levelised cost of electricity from large-scale PV systems has become competitive with conventional electricity sources in an expanding list of geographic regions, and grid parity has been achieved in about 30 countries. As of 2015, the fast-growing global PV market is rapidly",N/A,approaching,next-token prediction,wikipedia article: Photovoltaic system | top1_prob: 0.312
acid-jazz-s30-14,"In 1991 acid jazz broke into the mainstream with the success of Brand New Heavies. After one self-titled album (1990) with Acid Jazz Records, the group signed with FFRR",N/A,records,next-token prediction,wikipedia article: Acid jazz | top1_prob: 0.312
age-of-discovery-s16-11,"European exploration initiated the Columbian exchange between the Old World (Europe, Asia, and Africa) and New World (Americas). This exchange involved the transfer of plants, animals, human populations (including",N/A,slaves,next-token prediction,wikipedia article: Age of Discovery | top1_prob: 0.312
operation-spider-iran-s5-13,"In January 2015, 12 Iranian Facebook users were arrested and 24 other citizens were summoned to answer questions about their Facebook activities. On January 31, a statement by the Center for Investigation of Organized Cyber",N/A,crimes,next-token prediction,wikipedia article: Operation Spider (Iran) | top1_prob: 0.311
political-philosophy-s12-9,"Socialism emphasizes collective ownership and equal distribution of basic goods. It seeks to overcome sources of inequality, including private",N/A,ownership,next-token prediction,wikipedia article: Political philosophy | top1_prob: 0.490
ameli-neureuther-s11-10,"For a long time, she worked in New York for the fashion label Marc Jacobs, and for six years she worked in Berlin under Wolfgang Joop as a designer for the fashion label Wunderkind. For the Alpine Ski World Championships 2011 in Garmisch-Partenkirchen, Neureuther",N/A,designed,next-token prediction,wikipedia article: Ameli Neureuther | top1_prob: 0.310
history-of-cartography-s26-10,"Cuneiform inscriptions label the features on the map, including a plot of land described as 354 iku (12 hectares) that was owned by a person called Azala. Most scholars date the tablet to the 25th to 24th",N/A,century,next-token prediction,wikipedia article: History of cartography | top1_prob: 0.491
glossary-of-computer-science-s10-10,The result of this process: an abstract concept-object created by keeping common features or attributes to various concrete objects or systems of study. agent architecture A blueprint for software agents and intelligent control,N/A,systems,next-token prediction,wikipedia article: Glossary of computer science | top1_prob: 0.491
