slug,variant,hop_type,intermediate_concept,correct_answer,predicted,predicted_prob,model_correct,top_k_rank,rank_score,notes,total_transcoder_nodes,hop_feature_count,hop_feature_fraction,hop_mean_influence,hop_max_influence,hop_found_in_clerp,hop_groups,hop_found_in_groups,hop_found
atlantic-city-capital,a2,city→state→capital,New Jersey,Trenton,Atlantic,0.1763,False,2,0.8,,1791,7,0.0039,0.3343,0.3774,True,['New Jersey'],True,True
albuquerque-capital,a2,city→state→capital,New Mexico,Santa Fe,Santa,0.3974,True,1,1.0,,1516,1,0.0007,0.2758,0.2758,True,['say New Mexico'],True,True
niagara-falls-capital,a2,city→state→capital,New York,Albany,Buffalo,0.1737,False,2,0.8,,1752,4,0.0023,0.3342,0.3764,True,"['New York State', 'Upstate New York']",True,True
charlotte-capital,a2,city→state→capital,North Carolina,Raleigh,Raleigh,0.383,True,1,1.0,,1479,5,0.0034,0.3235,0.389,True,['North Carolina'],True,True
fargo-capital,a2,city→state→capital,North Dakota,Bismarck,Bismarck,0.232,True,1,1.0,,1447,2,0.0014,0.3233,0.3726,True,[],False,True
cleveland-capital,a2,city→state→capital,Ohio,Columbus,Columbus,0.3189,True,1,1.0,,1457,2,0.0014,0.3088,0.3199,True,"['Ohio (state)', 'Output: ""Ohio"" (6.3%)']",True,True
tulsa-capital,a2,city→state→capital,Oklahoma,Oklahoma City,Oklahoma,0.4138,True,1,1.0,,1448,3,0.0021,0.3059,0.3522,True,"['Oklahoma', 'Output: ""Oklahoma"" (41.4%) [target]']",True,True
portland-or-capital,a2,city→state→capital,Oregon,Salem,Salem,0.2216,True,1,1.0,Potentially ambiguous with Portland ME — model should default to OR,1481,3,0.002,0.3151,0.3383,True,"['say Oregon', 'Oregon']",True,True
philadelphia-capital,a2,city→state→capital,Pennsylvania,Harrisburg,Harrisburg,0.4533,True,1,1.0,,1493,4,0.0027,0.3001,0.3389,True,"['Pennsylvania', 'Output: ""Pennsylvania"" (5.4%)']",True,True
newport-capital,a2,city→state→capital,Rhode Island,Providence,the,0.1513,False,3,0.6,,1473,2,0.0014,0.3426,0.3492,True,[],False,True
myrtle-beach-capital,a2,city→state→capital,South Carolina,Columbia,Columbia,0.2416,True,1,1.0,,1733,2,0.0012,0.319,0.3262,True,['South Carolina'],True,True
mount-rushmore-capital,a2,landmark→state→capital,South Dakota,Pierre,South,0.1391,False,3,0.6,,2042,1,0.0005,0.3379,0.3379,True,['say South Dakota'],True,True
memphis-capital,a2,city→state→capital,Tennessee,Nashville,the,0.1558,False,2,0.8,,1480,4,0.0027,0.3137,0.3314,True,"['Tennessee', 'say Tennessee-Nashville', 'Output: ""Tennessee"" (8.8%)']",True,True
dallas-capital,a2,city→state→capital,Texas,Austin,Austin,0.3352,True,1,1.0,,1441,9,0.0062,0.3045,0.3403,True,"['Texas', 'say Texas', 'Output: ""Texas"" (4.1%)']",True,True
provo-capital,a2,city→state→capital,Utah,Salt Lake City,Provo,0.236,False,2,0.8,,1448,4,0.0028,0.295,0.307,True,"['Utah and Mormonism', 'Output: ""Utah"" (7.5%)']",True,True
burlington-vt-capital,a2,city→state→capital,Vermont,Montpelier,the,0.1253,False,2,0.8,,1498,0,0.0,0.0,0.0,False,[],False,False
virginia-beach-capital,a2,city→state→capital,Virginia,Richmond,Richmond,0.2443,True,1,1.0,,1821,1,0.0005,0.2513,0.2513,True,"['say Virginia', 'Emb: ""Virginia""']",True,True
seattle-capital,a2,city→state→capital,Washington,Olympia,Olympia,0.6017,True,1,1.0,,1442,7,0.0049,0.3368,0.3869,True,"['Washington State', 'say Washington DC', 'Output: ""Washington"" (4.5%)']",True,True
morgantown-capital,a2,city→state→capital,West Virginia,Charleston,Morgan,0.187,False,3,0.6,,1923,2,0.001,0.3453,0.3697,True,[],False,True
milwaukee-capital,a2,city→state→capital,Wisconsin,Madison,Madison,0.2415,True,1,1.0,,1470,6,0.0041,0.3042,0.3463,True,"['Wisconsin', 'say Wisconsin', 'Output: ""Wisconsin"" (10.6%)']",True,True
casper-capital,a2,city→state→capital,Wyoming,Cheyenne,Cheyenne,0.3327,True,1,1.0,,1509,0,0.0,0.0,0.0,False,[],False,False
